"V1"
"1  90  90 1.00000 0.00000 0.00000 0.00000 1.00000 0.00000"
"1  90  91 0.71363 0.23494 0.05143 0.07409 0.72342 0.20248"
"1  90  92 0.50386 0.35284 0.14331 0.10068 0.53765 0.36166"
"1  90  93 0.35055 0.39307 0.25638 0.10014 0.40993 0.48992"
"1  90  94 0.23934 0.38419 0.37647 0.08617 0.31850 0.59533"
"1  90  95 0.15975 0.34668 0.49357 0.06747 0.24961 0.68292"
"1  90  96 0.10388 0.29510 0.60102 0.04912 0.19513 0.75574"
"1  90  97 0.06563 0.23943 0.69495 0.03363 0.15063 0.81574"
"1  90  98 0.04020 0.18617 0.77362 0.02179 0.11390 0.86431"
"1  90  99 0.02386 0.13915 0.83699 0.01343 0.08387 0.90269"
"1  90 100 0.01372 0.10014 0.88615 0.00792 0.05991 0.93218"
"1  90 101 0.00764 0.06944 0.92292 0.00448 0.04140 0.95413"
"1  90 102 0.00413 0.04642 0.94945 0.00244 0.02763 0.96993"
"1  90 103 0.00217 0.02992 0.96791 0.00128 0.01780 0.98091"
"1  90 104 0.00110 0.01859 0.98031 0.00066 0.01106 0.98829"
"1  90 105 0.00054 0.01112 0.98833 0.00032 0.00662 0.99306"
"1  90 106 0.00026 0.00641 0.99333 0.00016 0.00381 0.99603"
"1  90 107 0.00012 0.00355 0.99633 0.00007 0.00211 0.99782"
"1  90 108 0.00005 0.00189 0.99806 0.00003 0.00112 0.99885"
"1  90 109 0.00002 0.00096 0.99902 0.00001 0.00057 0.99941"
"1  90 110 0.00001 0.00047 0.99952 0.00001 0.00028 0.99972"
"1  90 111 0.00000 0.00022 0.99978 0.00000 0.00013 0.99987"
"1  90 112 0.00000 0.00010 0.99990 0.00000 0.00006 0.99994"
"1  90 113 0.00000 0.00004 0.99996 0.00000 0.00002 0.99998"
"1  90 114 0.00000 0.00002 0.99998 0.00000 0.00001 0.99999"
"1  90 115 0.00000 0.00001 0.99999 0.00000 0.00000 1.00000"
"1  90 116 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 117 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 118 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 119 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 120 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 121 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 122 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 123 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 124 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 125 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 126 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 127 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 128 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 129 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 130 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 131 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 132 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 133 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 134 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 135 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 136 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 137 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 138 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 139 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 140 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
"1  90 141 0.00000 0.00000 1.00000 0.00000 0.00000 1.00000"
