"Year.x","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval","female","Year.y","pop_alive","deaths","Age1","limit","gali1","gali2","sr","chr","Lxhadlnm","Lxhgalinm","Lxhsrnm","Lxhchrnm","adlm","galim","srm","chrm","Lxhadlm","Lxhgalim","Lxhsrm","Lxhchrm","CALadl","CALgali","CALsr","CALchr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","CAL","CALuhadl","CALuhgali","CALuhsr","CALuhchr","CALuhadl2","CALuhgali2","CALuhsr2","CALuhchr2"
2017,50,0.00258,0.00258,0.5,96431,249,96306,2986980,30.98,FALSE,0,1967,0.99861841142779,0.00138158857221038,50,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,93369.3079845485,89292.3813195533,74990.4728592535,84681.4686695055,0.00636656072177873,0.0148214732499807,0.0444814095094253,0.0243837897532579,95692.8620031284,94878.6031971874,92022.1733757853,93957.6947440227,0.968167196391106,0.925892633750096,0.777592952452874,0.87808105123371,27.5686101439025,26.306386438104,18.0687696235988,20.6706098559206,29.4785332338774,3.04206950136091,4.27292304210245,12.0634702854397,9.6146447069126,33.5635362674836,34.7943898082251,42.5849370515624,40.1361114730352
2017,50,0.00323,0.00322,0.5,96182,310,96027,2890674,30.05,FALSE,0,1966,0.995860677336525,0.00413932266347472,51,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,93098.8156276062,89033.699883421,74773.224277361,84436.1451199988,0.00690128903300908,0.0153328529024533,0.0449108817822307,0.0248687625961716,95364.2899180272,94554.6321343361,91714.3427550977,93638.9273341774,0.965493554834955,0.923335735487734,0.775445591088847,0.875656187019142,26.6692243538512,25.446120576545,17.3358741834647,19.843693314204,28.4799148224496,3.01161828632422,4.20019726442476,11.8424448264648,9.49410734671851,34.5317034638747,35.7202824419752,43.3625300040152,41.0141925242689
2017,50,0.00351,0.00351,0.5,95872,336,95703,2794648,29.15,FALSE,0,1965,0.992449006825966,0.00755099317403429,52,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92784.695471157,88733.2956350094,74520.935601615,84151.2532560555,0.00756281648642265,0.0159654950725477,0.0454421940261757,0.025468736158464,94979.2157737999,94175.054225072,91354.0457051129,93265.5655434265,0.962185917567887,0.920172524637262,0.772789029869122,0.87265631920768,25.784384608379,24.599727442943,16.6120016943074,19.0271399911003,27.484054145113,2.98125116382266,4.12767232257596,11.6220297402171,9.37390285640113,35.4971970187096,36.6436181774629,44.1379755951041,41.8898487112881
2017,50,0.00441,0.0044,0.5,95535,420,95325,2698944,28.25,FALSE,0,1964,0.988451210218315,0.0115487897816855,53,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92418.2219552997,88382.8240118624,74226.5988132446,83818.8794147884,0.00833799457027905,0.0167068253720688,0.0460647858854635,0.0261717853727972,94530.1806675882,93732.4218714075,90933.8742854682,92830.1745593381,0.958310027148605,0.916465873139656,0.769676070572682,0.869141073136014,24.9041275522411,23.7576989980093,15.8905625250958,18.2134161508423,26.4916051382871,2.95098807456457,4.05539584038726,11.4023697632603,9.25411016878285,36.4593829362775,37.5637907021002,44.9107646249732,42.7625050304958
2017,50,0.00447,0.00446,0.5,95115,424,94903,2603619,27.37,FALSE,0,1963,0.982657245176344,0.0173427548236562,54,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92009.0901465912,87991.5567500422,73898.0005997729,83447.816554961,0.00946145210450427,0.0177812276645113,0.0469671017914868,0.0271907072866423,94005.0798109262,93215.5081509549,90445.6811386825,92322.5203063758,0.952692739477479,0.911093861677444,0.765164491042566,0.864046463566788,24.042449705599,22.9333853731058,15.1803426591156,17.4126040325493,25.5031539280688,2.92084689149486,3.9834105033086,11.1835946236147,9.13480003170055,37.4176929634261,38.4802565752398,45.6804406955459,43.6316461036318
2017,55,0.00514,0.00513,0.5,94691,486,94448,2508716,26.49,FALSE,0,1962,0.977864191047673,0.0221358089523274,55,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,89097.5214514101,83862.4883940501,65176.0764387881,74452.774867833,0.0155063617261651,0.0263465094598242,0.0650403369844215,0.0458311399555564,92983.4551476872,91959.6248745385,88305.0702524954,90119.3404934776,0.922468191369175,0.868267452700879,0.674798315077892,0.770844300222218,23.1784278717244,22.1068252844823,14.4679039340804,16.6093083397679,24.5204966828924,2.890882385796,3.9118471198097,10.9661018694809,9.01618925009099,38.3703857029036,39.3913504369173,46.4456051865885,44.4956925671986
2017,55,0.00591,0.00589,0.5,94205,555,93928,2414268,25.63,FALSE,0,1961,0.970658041347996,0.0293419586520041,56,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,88606.9794478236,83400.768781513,64817.2381388964,74042.8620805715,0.0168659459999433,0.0276262097087547,0.066034891794805,0.0469672526127941,92343.8154241173,91333.1253744761,87725.4746834976,89516.4598965855,0.915670270000284,0.861868951456227,0.669825541025975,0.765163736936029,22.3522211363521,21.3306608419815,13.8506896128997,15.904667917129,23.5426324918447,2.8354863861175,3.80225038146291,10.6630359935111,8.80916935926554,39.2928538942728,40.2596178896182,47.1204035016664,45.2665368674208
2017,55,0.0063,0.00628,0.5,93650,588,93356,2320340,24.78,FALSE,0,1960,0.963496669603619,0.0365033303963812,57,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,88067.3832438785,82892.8772077221,64422.5160090155,73591.9580145839,0.0182170820168334,0.0288979580883886,0.0670232665877452,0.04809630563293,91655.3260912365,90658.2022247004,87098.9759244344,88865.9212913322,0.908914589915833,0.855510209558057,0.664883667061274,0.75951847183535,21.5385372418817,20.5665150650011,13.2406511141946,15.2082902194614,22.5719744504967,2.78049861476979,3.69346129157114,10.3622034931891,8.60367505485357,40.208524164273,41.1214868410744,47.7902290426923,46.0317006043568
2017,55,0.00729,0.00726,0.5,93062,676,92724,2226984,23.93,FALSE,0,1959,0.95727970663513,0.0427202933648696,58,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,87471.1860395196,82331.7102940232,63986.3894599164,73093.7563192969,0.0193900364286738,0.0300019941395301,0.0678812990577844,0.0490764643324356,90926.0782621877,89942.0950954062,86429.774426166,88173.4339212392,0.903049817856631,0.849990029302349,0.660593504711078,0.754617678337822,20.72829543163,19.8057344418735,12.632056702363,14.5135976127525,21.6084777808931,2.725916535082,3.58547483152557,10.0635904906467,8.3996968570853,41.1174387541889,41.9769970506324,48.4551127097536,46.7912190761922
2017,55,0.00786,0.00783,0.5,92386,724,92025,2134259,23.1,FALSE,0,1958,0.948203606455487,0.0517963935445127,59,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,86811.7843846986,81711.0525840935,63504.0279760235,72542.7389379588,0.0211024242620867,0.0316137685465659,0.0691339345801344,0.0505073910717056,90083.0494072815,89115.7429495023,85662.9496702631,87377.0573366263,0.894487878689567,0.841931157267171,0.654330327099328,0.747463044641472,19.9331656681621,19.0594846441626,12.0318887209685,13.8286175905297,20.651198074258,2.6716866463035,3.47818515419279,9.76690428872267,8.19703482878799,42.0204885720455,42.8269870799348,49.1157062144647,47.54583675453
