"Year.x","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval","female","Year.y","pop_alive","deaths","Age1","limit","gali1","gali2","sr","chr","Lxhadlnm","Lxhgalinm","Lxhsrnm","Lxhchrnm","adlm","galim","srm","chrm","Lxhadlm","Lxhgalim","Lxhsrm","Lxhchrm","CALadl","CALgali","CALsr","CALchr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","CAL","CALuhadl","CALuhgali","CALuhsr","CALuhchr","CALuhadl2","CALuhgali2","CALuhsr2","CALuhchr2"
2017,50,0.00279,0.00279,0.5,95861,267,95727,2968188,30.96,FALSE,0,1967,0.998653316003369,0.00134668399663052,50,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92807.963630894,88755.5478015584,74539.6236516703,84172.3563570884,0.00635979267811087,0.014815000729738,0.044475973688962,0.0243776514633832,95118.1961263025,94308.8044251444,91469.4484666767,93393.4005583647,0.968201036609446,0.92592499635131,0.77762013155519,0.878111742683084,27.5615121580164,26.2992564608393,18.0647779691563,20.6635326216984,29.4153688286892,3.02540310336476,4.25623790369225,12.0289706628463,9.58871281093071,33.6100342746756,34.8408690750031,42.6136018341571,40.1733439822415
2017,50,0.00368,0.00367,0.5,95593,351,95418,2872461,30.05,FALSE,0,1966,0.995128016122152,0.00487198387784848,51,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92508.3860742804,88469.0511572398,74299.0150072088,83900.6539312906,0.00704335301775187,0.0154687137305054,0.0450249818609621,0.0249976077930864,94745.9373417522,93942.0062732626,91121.8062807907,93032.7782595993,0.964783234911241,0.922656431347473,0.77487509069519,0.875011961034568,26.6679166188813,25.4445145124743,17.3356632520124,19.8409354690358,28.4167155126858,2.99495082397083,4.18350958404019,11.8079374783981,9.46817123761043,34.578235311285,35.7667940713544,43.3912219657123,41.0514557249246
2017,50,0.00356,0.00356,0.5,95242,339,95073,2777043,29.16,FALSE,0,1965,0.991464712615492,0.00853528738450804,52,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,92173.9062780614,88149.1762630978,74030.3742876644,83597.2968539436,0.00775367244406835,0.0161480173950868,0.0455954818551293,0.0256418333265445,94335.8350997251,93537.7595421969,90738.1007535873,92635.1539801454,0.961231637779658,0.919259913024566,0.772022590724353,0.871790833367278,25.794898965524,24.6093994732757,16.6194435463599,19.0331354902275,27.4215874965637,2.96460604275992,4.11103799926551,11.5876845529711,9.34805518252284,35.5430185461963,36.6894505027018,44.1660970564074,41.9264676859592
2017,50,0.00404,0.00404,0.5,94903,383,94712,2681970,28.26,FALSE,0,1964,0.987750666628111,0.0122493333718892,53,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,91823.9143753511,87814.4665912564,73749.2748680831,83279.8710425747,0.00847383090494216,0.016836730477436,0.046173884166127,0.0262949823908136,93909.4265273311,93117.3595830211,90338.7790828578,92221.5496278013,0.957630845475289,0.91581634761282,0.769130579169365,0.868525088045932,24.9157967714021,23.7684714747755,15.8987457504478,18.2202521891437,26.4301227839482,2.93437296792409,4.03883319967458,11.36824243108,9.22838130327463,36.5042501839759,37.6087104157264,44.9381196471318,42.7982585193265
2017,50,0.00404,0.00403,0.5,94520,381,94330,2587258,27.37,FALSE,0,1963,0.982917910570791,0.0170820894292091,54,0.0304933442926865,0.187047679670487,0.0728263937911104,0.221331247697408,0.120704123631908,91453.5628328709,87460.2862736846,73451.8234047035,82943.9800178021,0.00941090873753845,0.0177328912497546,0.0469265073919942,0.0271448668853525,93442.268978788,92657.2563684106,89903.4225577132,91769.4247067047,0.952945456312308,0.911335543751227,0.765367463040029,0.864275665573238,24.045280857184,22.9357255795532,15.1829178278318,17.4129996028749,25.4423721173201,2.90425314677127,3.96689888065929,11.1496223436212,9.10915572469245,37.4618810294512,38.5245267633392,45.7072502263012,43.6667836073724
2017,55,0.00513,0.00512,0.5,94140,482,93899,2492928,26.48,FALSE,0,1962,0.97749436685919,0.0225056331408103,55,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,88579.6222976236,83375.0190338907,64797.2260029409,74020.0015597435,0.0155761364563163,0.0264121844909831,0.0650913781702116,0.0458894459801325,92436.4163628884,91418.9222884812,87786.9846811953,89590.0269119115,0.922119317718418,0.867939077545084,0.674543109148942,0.770552770099338,23.1708772444036,22.0992616900965,14.4639639864241,16.6022173618646,24.4594542067493,2.87428069251278,3.89531651383973,10.9320718960905,8.99051347969489,38.4148264857635,39.4358623070905,46.4726176893412,44.5310592729456
2017,55,0.00521,0.00519,0.5,93658,486,93415,2399029,25.61,FALSE,0,1961,0.97155883523505,0.0284411647649497,56,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,88123.0408942855,82945.2646252985,64463.2303545802,73638.4673500616,0.0166959932160302,0.0274662427070214,0.0659105689690422,0.0468252345616439,91855.3437937245,90849.2409375236,87257.9641997569,89040.820713424,0.916520033919849,0.862668786464893,0.670447155154789,0.76587382719178,22.3443460408137,21.3227858428729,13.8465517486923,15.8973364889939,23.4819598398901,2.81890564337201,3.78576122452563,10.6291206383802,8.78357188293504,39.3369458034819,40.3038013846355,47.1471607984901,45.301612043045
2017,55,0.00664,0.00662,0.5,93171,617,92863,2305615,24.75,FALSE,0,1960,0.964297871725133,0.0357021282748671,57,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,87602.3116904783,82455.1314981437,64082.3096977721,73203.3291605071,0.0180659192114621,0.0287556770371926,0.0669126888926861,0.0479699890964725,91185.344544266,90192.6615632952,86649.2869713585,88408.3629025343,0.909670403942689,0.856221614814037,0.665436555536569,0.760150054517638,21.5153182921322,20.5439912831943,13.22704611225,15.190072807377,22.510401004655,2.76386684205681,3.67687117575547,10.3280089583,8.57788687489177,40.2534658374018,41.1664701711004,47.8176079536449,46.0674858702367
2017,55,0.00717,0.00714,0.5,92554,661,92224,2212752,23.91,FALSE,0,1959,0.955285319654676,0.0447146803453238,58,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,86999.5110360711,81887.7491281221,63641.3526330975,72699.6094084685,0.0197663174230271,0.0303561662871703,0.0681565538398584,0.0493908969193726,90401.0711419787,89424.432920332,85938.3299786729,87668.9739225078,0.901168412884864,0.848219168564149,0.659217230800708,0.753045515403137,20.7122480811825,19.7900585641717,12.6228450809978,14.5004099701322,21.5461031329299,2.70923937427436,3.56879491884437,10.0291476421114,8.37373905768428,41.1631362413445,42.0226917859145,48.4830445091815,46.8276359247544
2017,55,0.00799,0.00796,0.5,91893,731,91528,2120528,23.08,FALSE,0,1958,0.945305279773477,0.0546947202265227,59,0.0566499931029763,0.246260134462489,0.112077668197843,0.309926346362146,0.211706178343289,86342.9394312708,81269.7551851878,63161.0613701655,72150.9569085954,0.0216492515611794,0.0321284663437288,0.0695339463567125,0.0509643376750199,89546.4873031084,88587.3457324912,85163.6969578628,86863.3361012808,0.891753742194103,0.839357668281356,0.652330268216437,0.745178311624901,19.9144863903638,19.0412907535963,12.0210837712728,13.8135803049976,20.5908178132752,2.65512246750455,3.46172876775384,9.73307955325743,8.17149925343274,42.0643046542293,42.8709109544786,49.1422617399822,47.5806814401575
