"country","ex","UHE_ADL","HE_ADL","UHE_CHR","HE_CHR","UHE_GALI","HE_GALI","UHE_SR","HE_SR"
"AUT",34.9501561128911,4.65646179405688,30.2936943188342,27.0996704151402,7.85048569775085,7.40441798496508,27.545738127926,13.4150466640248,21.5351094488663
"BEL",34.8937162418391,6.67725057741732,28.2164656644218,28.9715042381098,5.92221200372926,6.77905080508027,28.1146654367588,11.8970673895388,22.9966488523003
"BGR",30.2996171460165,4.51300523315325,25.7866119128633,22.7713534366143,7.52826370940222,4.45347230740049,25.8461448386161,12.6592898964788,17.6403272495377
"CHE",36.3298597683838,3.17709243108753,33.1527673372963,23.6227974017983,12.7070623665855,4.08813548656353,32.2417242818202,8.47810772161912,27.8517520467647
"CZE",32.9665185882738,4.73391344959323,28.2326051386806,27.8962014327101,5.07031715556377,5.67315348212137,27.2933651061525,10.2783264106255,22.6881921776484
"DEUTNP",34.4284618766679,5.22225338499924,29.2062084916687,28.8401818823411,5.58827999432679,8.23956181268693,26.188900063981,16.1392477456295,18.2892141310384
"DNK",34.1756622939105,3.32999860058942,30.845663693321,25.6221511489717,8.55351114493872,4.56704501984572,29.6086172740647,10.4209789646759,23.7546833292346
"ESP",36.6109142740786,6.3283390733764,30.2825752007022,30.0356868246267,6.57522744945192,4.25996559813096,32.3509486759476,17.3593915626785,19.2515227114001
"EST",33.6149024926536,5.19805866838533,28.4168438242682,26.957286720746,6.65761577190753,9.51651487978757,24.098387612866,23.6105475102065,10.0043549824471
"FIN",35.360067055781,3.72911341177892,31.6309536440021,30.2817815326353,5.07828552314567,4.44935743590394,30.9107096198771,14.5059285684309,20.8541384873501
"FRATNP",36.6016305962123,5.3328345954793,31.268796000733,29.9510160508041,6.65061454540828,6.43411145969531,30.167519136517,14.5188998013067,22.0827307949057
"GRC",34.8235030001225,3.06065080479774,31.7628521953247,26.5324299125905,8.29107308753196,2.91091948741515,31.9125835127073,12.2778044565628,22.5456985435596
"HRV",32.0889854834741,4.87230528952302,27.2166801939511,26.5952903474682,5.49369513600592,6.4250056761965,25.6639798072776,15.7014834373862,16.3875020460879
"HUN",30.700029933012,3.13671756626595,27.563312366746,24.6299585090679,6.07007142394411,6.46030821939785,24.2397217136141,18.3363466670774,12.3636832659346
"ITA",35.8649064525333,5.47913955924823,30.3857668932851,26.3640654794003,9.50084097313304,6.43249091296141,29.4324155395719,17.551357680234,18.3135487722993
"LTU",32.2646338029638,5.49451866233146,26.7701151406323,28.1463934064246,4.11824039653919,5.4144582395157,26.8501755634481,20.7054915132012,11.5591422897626
"LUX",34.9176418928579,3.64526594911492,31.2723759437429,28.7737772283644,6.14386466449352,7.34981930940218,27.5678225834557,14.8864878372107,20.0311540556471
"LVA",31.5461044050792,4.1897767442307,27.3563276608485,26.0089443788205,5.53716002625871,4.52948823576915,27.01661616931,21.6258752941895,9.92022911088968
"POL",32.8661399502088,5.52672577648367,27.3394141737252,28.21979500054,4.6463449496688,8.30492981709067,24.5612101331182,17.7665460441739,15.0995939060349
"SVK",32.029781840291,3.3195241983744,28.7102576419166,21.6285482128973,10.4012336273938,4.55239881691248,27.4773830233785,11.2638088779492,20.7659729623419
"SVN",34.6873176801779,3.79338412928529,30.8939335508926,27.0910555122905,7.59626216788739,7.60233608288902,27.0849815972889,14.3482576046616,20.3390600755163
"SWE",35.1333129397369,3.3780139720307,31.7552989677062,25.4335436316074,9.69976930812957,6.14562062141597,28.9876923183209,11.0356913524004,24.0976215873365
"PRT",35.6979037719828,8.47864154886172,27.219262223121,30.1420294829417,5.55587428904111,7.19694647026781,28.500957301715,21.9346768549116,13.7632269170712
