"female","country","sex","UHE_ADL","UHE_CHR","UHE_GALI","UHE_SR","ex","HE_ADL","HE_CHR","HE_GALI","HE_SR"
0,"AUT","male",2.96907029282104,22.7082261603046,4.37615856984423,10.8280658730957,30.7831859312672,27.8141156384462,8.07495977096261,26.407027361423,19.9551200581715
1,"AUT","female",4.61678982768367,26.9743854444925,7.35688081441744,13.3387386500056,34.8073941609581,30.1906043332745,7.83300871646563,27.4505133465407,21.4686555109526
0,"BEL","male",3.89273315682849,24.8423235334212,4.61747232926315,9.60386819412336,30.7786854642018,26.8859523073733,5.93636193078059,26.1612131349386,21.1748172700784
1,"BEL","female",6.63612275148198,28.893635795492,6.75073260192,11.8576130808966,34.8083605847924,28.1722378333104,5.9147247893004,28.0576279828724,22.9507475038959
0,"BGR","male",2.92949050716147,16.6048758914372,2.8090941202824,7.96615962602918,24.4334900540872,21.5039995469257,7.82861416265002,21.6243959338048,16.467330428058
1,"BGR","female",4.4789481229556,22.6902421435433,4.42108439093368,12.598387968354,30.2116186324393,25.7326705094837,7.52137648889594,25.7905342415056,17.6132306640853
0,"CHE","male",2.38766718695593,24.563511305345,4.99244898819027,7.63733709206556,32.8091453384859,30.42147815153,8.2456340331409,27.8166963502956,25.1718082464203
1,"CHE","female",3.14142645298452,23.5106989009225,4.06221202279763,8.42635080234566,36.1908791433415,33.049452690357,12.680180242419,32.1286671205438,27.7645283409958
0,"CZE","male",3.42383146847706,24.0334331280372,4.72901421382544,7.83522639945739,27.9496855513405,24.5258540828634,3.91625242330323,23.220671337515,20.1144591518831
1,"CZE","female",4.71175899093037,27.8344295388631,5.65035815721154,10.2479494187185,32.8991442175273,28.1873852265969,5.06471467866422,27.2487860603158,22.6511947988088
0,"DEUTNP","male",3.59692817739449,25.4101684088687,6.11252511012492,12.870758048462,30.1619808682446,26.5650526908501,4.7518124593759,24.0494557581197,17.2912228197826
1,"DEUTNP","female",5.19106851292544,28.7698285887512,8.20446845458815,16.0856422190063,34.3552982185127,29.1642297055872,5.58546962976145,26.1508297639245,18.2696559995064
0,"DNK","male",2.97995020990194,22.2838613006359,3.15771320919962,8.08103342686487,30.6133424767205,27.6333922668186,8.32948117608464,27.4556292675209,22.5323090498557
1,"DNK","female",3.30962787486691,25.4897794958016,4.54076418050183,10.3659278017127,34.013639076694,30.7040112018271,8.52385958089242,29.4728748961922,23.6477112749813
0,"ESP","male",5.77243052523946,26.8201066030762,2.01460029053647,11.6566984159272,31.6367913227511,25.8643607975116,4.81668471967489,29.6221910322146,19.9800929068239
1,"ESP","female",6.36843009413374,30.0792316700604,4.27829252771592,17.3987364809527,36.6571674758393,30.2887373817056,6.57793580577889,32.3788749481234,19.2584309948866
0,"EST","male",3.12503949710885,19.9524774831249,7.02298880797719,17.8344634361749,26.2594049658914,23.1343654687825,6.30692748276649,19.2364161579142,8.42494152971654
