"Healthy","Unhealthy","",""
"31.1615724898496","3.95661288105723","AT","adl"
"31.1615724898496","3.95661288105723","AT","adl"
"26.8349712033665","7.47119485022126","AT","gal"
"22.4119281773334","12.4453611511973","AT","sr"
"27.6891078172191","5.54701113605498","BE","adl"
"27.1660068983917","5.96369430128275","BE","gal"
"21.0918343640572","11.6316925158067","BE","sr"
"28.9370148379231","3.81831158569532","CZ","adl"
"28.5664138777239","4.7603074752438","CZ","gal"
"25.6010278736189","8.48003044268243","CZ","sr"
"29.724754169548","4.13654166606339","DE","adl"
"26.4191291931328","7.42127474520375","DE","gal"
"17.4227093292588","16.0821406369682","DE","sr"
"28.8037514269123","2.49846165570823","DK","adl"
"27.3431538111637","3.60095306869482","DK","gal"
"20.889822568665","9.76989840906969","DK","sr"
"26.6698481504782","4.41117542539599","EE","adl"
"23.242128799123","8.04476496497391","EE","gal"
"9.6137546730631","21.5981548064686","EE","sr"
"28.0267244032677","4.74435581886294","ES","adl"
"29.3302708623767","3.34224365902431","ES","gal"
"18.4864093830739","14.7236053233682","ES","sr"
"32.4287807345337","3.38279384976988","FR","adl"
"30.9059665078325","4.55435912110686","FR","gal"
"22.6081033254186","12.7986094718941","FR","sr"
"32.3671668277119","1.93199877797448","GR","adl"
"32.3406924108526","1.83335433969922","GR","gal"
"24.9306742589842","9.51035181317287","GR","sr"
"25.5356895487826","3.41281063594763","HR","adl"
"24.0941267108456","5.24426517372898","HR","gal"
"15.6818366103146","13.4740046659723","HR","sr"
"29.6922583719405","4.14933592700176","IT","adl"
"27.4370638263284","5.82175971196708","IT","gal"
"18.4429038650075","15.2884244820355","IT","sr"
"25.8498409740813","3.73635971492369","PL","adl"
"23.383948613824","5.78833188849564","PL","gal"
"15.2457584756649","14.449189751579","PL","sr"
"32.0306770208829","2.42437820482747","SE","adl"
"28.5329829396732","5.89564339179057","SE","gal"
"24.3114705857214","10.1604155874892","SE","sr"
