"country","diff_UHE_ADL.x","cont_mort_prevADL","cont_prev_prevADL","diff_UHE_CHR.x","cont_mort_prevchr","cont_prev_prevchr","diff_UHE_GALI.x","cont_mort_prevGALI","cont_prev_prevGALI","diff_UHE_SR.x","cont_mort_prevSR","cont_prev_prevSR"
"AUT",1.63464403481302,1.03628666527358,0.598357369539452,4.2286527933601,3.41976302618072,0.80888976717938,2.96899055789051,1.20048631859479,1.76850423929572,2.4898564537988,2.02053573611013,0.469320717688653
"BEL",2.74691126758256,1.15637837715085,1.59053289043172,3.984113896983,3.53707634871463,0.447037548268284,2.1262775136469,0.976427057572245,1.14985045607464,2.23625920094536,1.52200018253222,0.71425901841307
"BGR",1.55401913752424,1.42196591496552,0.132053222558693,6.0544369943698,4.86974102746748,1.18469596690236,1.61869367371362,1.30897654212107,0.309717131592551,4.62796085947823,3.0857662826052,1.54219457687312
"CHE",0.78338118116799,0.467837527658308,0.315543653509676,-1.0122568406609,2.76838539851603,-3.78064223917688,-0.913608561817489,0.499474122386973,-1.41308268420447,0.81797846758636,1.06026162398738,-0.242283156401045
"CZE",1.28351544517962,1.23013621248348,0.0533792326961309,3.7981073700545,4.45964222454101,-0.661534854486451,0.91956309968666,1.29931429566927,-0.379751195982607,2.4065831362255,2.02531467885349,0.381268457371993
"DEUTNP",1.60030662584118,1.06675537135798,0.533551254483204,3.3376154700922,3.73796521645695,-0.400349746364736,2.10035334890781,1.27803845057611,0.822314898331685,3.2166740721672,2.31873132662499,0.897942745542242
"DNK",0.32531142939125,0.714488435470594,-0.389177006079352,3.2228723036759,2.80941428919484,0.413458014481151,1.3886184559634,0.655209530351778,0.733408925611621,2.29028202270552,1.35971179809562,0.93057022460985
"ESP",0.5516676551201,1.57320463747976,-1.02153698235966,3.1646647173001,4.52285234160911,-1.35818762430906,2.24201573403683,0.844143170961155,1.39787256307564,5.6768287614326,3.0328198100227,2.64400895140989
"EST",1.98993604032612,1.67982399957996,0.310112040746136,6.7343496734564,6.16169765631824,0.5726520171382,2.35845489583677,2.76880856958736,-0.410353673750558,5.5182245915426,5.73921990835668,-0.220995316813902
"FIN",1.0824415942387,0.83107877513864,0.251362819100076,3.8734893556241,4.18957912567926,-0.316089770055022,0.44811088656774,1.14441205105112,-0.696301164483357,1.4391487598323,2.73868944630295,-1.29954068647073
"FRATNP",1.40770744567618,1.35303666124148,0.0546707844346899,5.4382260632808,4.52730146117954,0.910924602101154,1.10079012679284,1.56836587567174,-0.467575748878916,2.6105278190534,2.62046190927779,-0.00993409022451885
"GRC",1.40224859063067,0.576965610096728,0.825282980533943,5.2128459564469,3.81215111818205,1.40069483826491,1.23713335372081,0.537282573218697,0.699850780502106,4.16583507231787,2.22834270832189,1.93749236399597
"HRV",1.94097349491764,1.21395176603015,0.727021728887501,5.694900194043,4.45432213941684,1.24057805462617,1.5735060094505,1.39166002076456,0.181845988685938,4.3895540444823,2.80385084188728,1.58570320259503
"HUN",1.1989168705146,1.11001924481246,0.0888976257021421,8.6598427144473,5.20032715182916,3.45951556261798,2.83445267797679,1.62230370621835,1.21214897175844,7.3749766489462,4.02540961950611,3.34956702944015
"ITA",2.68078948048193,1.20962123725219,1.47116824322974,4.2490023378283,3.40648327192678,0.842519065901421,2.0349798972908,1.22734152870014,0.807638368590667,5.2632338981031,2.44431611445008,2.81891778365306
"LTU",2.535305133759,1.92464288655214,0.610662247206849,8.3952459684707,6.64923336213251,1.74601260633816,1.3457454647654,1.86052260878941,-0.514777144024013,7.0258643492893,5.29654678700798,1.72931756228135
"LUX",0.1904467617629,0.859482974497353,-0.669036212734461,3.2753772918508,3.14386680600608,0.131510485844615,0.73839361912856,1.15811228962946,-0.419718670500878,3.1955986257125,1.7592027528164,1.43639587289619
"LVA",2.31907240331121,1.33940344618215,0.979668957129072,8.4343563993399,6.47268170294292,1.96167469639695,1.5333190318662,1.38646514333178,0.146853888534442,7.6515318319678,5.69383629704753,1.95769553492029
"POL",1.83287312380453,1.625417145028,0.20745597877655,6.9195458465194,5.56808022087284,1.35146562564659,2.26466067180677,2.16656598518665,0.0980946866201053,4.5346294876539,4.07532481747407,0.459304670179794
"PRT",3.82910621342958,1.53585277303896,2.29325344039062,8.0263485250106,4.57299961783769,3.45334890717286,2.69346965271781,1.45428577405225,1.23918387866556,7.9026514078748,3.2451973163352,4.65745409153947
"SVK",1.9143125247675,0.787107820119401,1.12720470464811,7.9127491020646,4.16336010312459,3.74938899894006,2.63373159178339,0.951360853080439,1.68237073870294,5.00950192651943,2.69471595531059,2.31478597120877
"SVN",0.50768316473672,1.12288967455852,-0.6152065098218,4.8133236229636,4.50293456861785,0.310389054345713,1.47549424302352,1.71934709377075,-0.243852850747259,2.7214221974441,2.94724344372652,-0.225821246282401
"SWE",0.60965946164563,0.553961698392754,0.0556977632528719,2.9456628984545,2.36316140426637,0.582501494188062,1.80859072329933,0.703910567443659,1.10468015585566,2.60019821852958,1.23951425816985,1.36068396035977
