"country","ex","HE_adl","HE_chr","HE_gal","HE_sr","UHE_adl","UHE_chr","UHE_gal","UHE_sr"
"1","AUT",30.9738984351505,28.3275697417843,9.05745628926383,26.6553022691873,20.9200709131918,2.64632869336624,21.9164421458867,4.31859616596323,10.0538275219587
"2","BEL",30.9454627012028,27.1019037306099,5.1878262089901,26.5676185896246,18.4884799406432,3.84355897059284,25.7576364922127,4.37784411157822,12.4569827605596
"3","CZE",28.0203695926081,24.7222333463881,3.47364340025199,24.2621734781604,22.819386602478,3.29813624622008,24.5467261923562,3.75819611444771,5.2009829901302
"4","DEUTNP",30.2681672760512,26.4913594310911,3.36253464891142,24.184116802601,15.8263021446527,3.77680784496011,26.9056326271398,6.08405047345022,14.4418651313985
"5","DNK",30.7589894509958,27.9868516544735,7.89741004704566,27.5422968348843,22.0431817154049,2.77213779652235,22.8615794039502,3.21669261611158,8.71580773559097
"6","ESP",31.6957248035637,29.0764934247974,6.94167939089278,29.3672428123904,19.1217652172658,2.61923137876632,24.7540454126709,2.32848199117326,12.5739595862979
"7","EST",26.5729904577066,23.2432350200011,5.75530657329236,20.3047962118713,8.44880009348213,3.32975543770554,20.8176838844143,6.26819424583536,18.1241903642245
"8","FRATNP",31.5468617450227,29.0578924368736,7.23753447807463,27.4657403963009,20.2516286200685,2.4889693081491,24.309327266948,4.08112134872176,11.2952331249542
"9","GRC",30.5937581600359,29.1591586156401,11.4723572508121,29.473577479972,23.2697803958597,1.43459954439582,19.1214009092238,1.12018068006392,7.32397776417627
"10","HRV",27.049638066739,24.1134560856417,5.04540313801932,22.6086293388264,15.6902294464054,2.93618198109728,22.0042349287197,4.44100872791259,11.3594086203336
"11","ITA",32.0227446522683,29.7229701343392,11.292920392167,27.7520457174744,19.4481738928387,2.29977451792911,20.7298242601013,4.27069893479384,12.5745707594296
"12","POL",26.7040389671969,23.0952912360447,5.26117774095866,19.8470995787534,12.8471788147118,3.60874773115221,21.4428612262382,6.85693938844347,13.856860152485
"13","SWE",32.3784387770938,29.7952062395117,8.1914645906575,28.3821313364027,23.0544921289121,2.58323253758212,24.1869741864363,3.99630744069112,9.32394664818168
