"Healthy","Unhealthy","",""
"30.9699656501133","3.95954698177243","AT","adl"
"30.9699656501133","3.95954698177243","AT","adl"
"29.1384429877543","5.99967549158453","AT","gal"
"22.4506216687417","12.5124515970494","AT","sr"
"29.2015321941859","4.6394717343282","BE","adl"
"28.2661908589039","5.28755214402266","BE","gal"
"20.1724838217298","12.7047941693107","BE","sr"
"28.261653543408","4.23460421593308","CZ","adl"
"28.7124491837175","4.65110110773801","CZ","gal"
"26.6358650646594","7.63317137657375","CZ","sr"
"27.9422040216341","5.37008025171618","DE","adl"
"26.0062907770643","7.75471560083218","DE","gal"
"17.3822187241255","16.2276305180466","DE","sr"
"27.6038129872372","3.23886353577326","DK","adl"
"27.1771232227573","3.6548695145232","DK","gal"
"21.4571636167927","9.36939113814205","DK","sr"
"26.2714533341134","4.68089361629905","EE","adl"
"23.0303053864705","8.16715767198016","EE","gal"
"9.48777766032596","21.7169071316655","EE","sr"
"30.7354039979881","2.79383937218215","ES","adl"
"30.5660322699689","2.59767299174105","ES","gal"
"19.5156359958099","13.9734156931548","ES","sr"
"32.8935208803279","3.30594878894066","FR","adl"
"29.6762679337236","5.79535250621484","FR","gal"
"21.9062004754695","13.3276326392971","FR","sr"
"32.4190858918137","1.81438008272705","GR","adl"
"32.9369532390103","1.37733592596119","GR","gal"
"25.8424185248256","8.80862860442767","GR","sr"
"26.0783711487156","3.14943808473275","HR","adl"
"24.5092176227536","5.02293977964111","HR","gal"
"16.6754970972618","12.5919595276141","HR","sr"
"31.4186785109575","2.92995671951243","IT","adl"
"28.9603042402552","4.90713883263986","IT","gal"
"20.6207504006301","13.5378626407158","IT","sr"
"25.3604872667518","4.01426532859685","PL","adl"
"21.0616539952576","7.13624868941064","PL","gal"
"13.8034539555698","15.6106870933413","PL","sr"
"31.3749805683032","2.87611788313252","SE","adl"
"29.4093245389281","4.97295039490553","SE","gal"
"23.7707698084955","10.6045621318587","SE","sr"
