"no","Agex","Agex_h","p11","p12","p13","p21","p22","p23","name"
"1","75","76","0.90023","0.09267","0.00710","0.17280","0.76613","0.06108","ATFgali"
"1","76","77","0.89533","0.09640","0.00827","0.16849","0.76558","0.06592","ATFgali"
"1","77","78","0.89012","0.10024","0.00964","0.16422","0.76466","0.07112","ATFgali"
"1","78","79","0.88458","0.10419","0.01123","0.15998","0.76332","0.07671","ATFgali"
"1","79","80","0.87867","0.10825","0.01308","0.15576","0.76155","0.08270","ATFgali"
"1","80","81","0.87237","0.11240","0.01523","0.15156","0.75932","0.08912","ATFgali"
"1","81","82","0.86561","0.11664","0.01774","0.14738","0.75662","0.09599","ATFgali"
"1","82","83","0.85837","0.12097","0.02066","0.14323","0.75342","0.10335","ATFgali"
"1","83","84","0.85057","0.12537","0.02406","0.13909","0.74970","0.11122","ATFgali"
"1","84","85","0.84218","0.12982","0.02800","0.13496","0.74542","0.11962","ATFgali"
"1","85","86","0.83311","0.13431","0.03258","0.13085","0.74057","0.12858","ATFgali"
"1","86","87","0.82328","0.13883","0.03789","0.12675","0.73512","0.13814","ATFgali"
"1","87","88","0.81263","0.14333","0.04404","0.12265","0.72904","0.14831","ATFgali"
"1","88","89","0.80105","0.14780","0.05115","0.11856","0.72232","0.15912","ATFgali"
"1","89","90","0.78845","0.15220","0.05935","0.11448","0.71492","0.17060","ATFgali"
"1","90","91","0.77471","0.15648","0.06881","0.11039","0.70684","0.18277","ATFgali"
"1","50","51","0.95695","0.04279","0.00026","0.23712","0.76029","0.00259","ATFsr"
"1","51","52","0.95461","0.04509","0.00029","0.23184","0.76527","0.00289","ATFsr"
"1","52","53","0.95216","0.04751","0.00033","0.22664","0.77014","0.00322","ATFsr"
"1","53","54","0.94957","0.05005","0.00037","0.22152","0.77490","0.00359","ATFsr"
"1","54","55","0.94686","0.05272","0.00042","0.21647","0.77953","0.00400","ATFsr"
"1","55","56","0.94400","0.05552","0.00048","0.21150","0.78405","0.00445","ATFsr"
"1","56","57","0.94100","0.05846","0.00054","0.20661","0.78843","0.00496","ATFsr"
"1","57","58","0.93784","0.06154","0.00061","0.20179","0.79268","0.00553","ATFsr"
"1","58","59","0.93453","0.06478","0.00069","0.19704","0.79680","0.00616","ATFsr"
"1","59","60","0.93105","0.06817","0.00078","0.19237","0.80077","0.00686","ATFsr"
"1","60","61","0.92739","0.07173","0.00089","0.18777","0.80459","0.00764","ATFsr"
"1","61","62","0.92355","0.07545","0.00100","0.18324","0.80825","0.00851","ATFsr"
"1","62","63","0.91952","0.07935","0.00113","0.17878","0.81175","0.00947","ATFsr"
"1","63","64","0.91529","0.08343","0.00128","0.17439","0.81507","0.01054","ATFsr"
"1","64","65","0.91085","0.08770","0.00145","0.17006","0.81821","0.01173","ATFsr"
"1","65","66","0.90619","0.09217","0.00164","0.16580","0.82115","0.01305","ATFsr"
"1","66","67","0.90131","0.09683","0.00186","0.16161","0.82388","0.01451","ATFsr"
"1","67","68","0.89619","0.10170","0.00210","0.15747","0.82639","0.01614","ATFsr"
"1","68","69","0.89083","0.10679","0.00238","0.15340","0.82865","0.01795","ATFsr"
"1","69","70","0.88521","0.11209","0.00269","0.14938","0.83067","0.01995","ATFsr"
"1","70","71","0.87933","0.11762","0.00305","0.14542","0.83241","0.02218","ATFsr"
"1","71","72","0.87318","0.12337","0.00345","0.14151","0.83385","0.02464","ATFsr"
"1","72","73","0.86674","0.12936","0.00391","0.13766","0.83497","0.02737","ATFsr"
"1","73","74","0.86000","0.13558","0.00442","0.13386","0.83575","0.03039","ATFsr"
"1","74","75","0.85295","0.14204","0.00500","0.13010","0.83617","0.03373","ATFsr"
"1","75","76","0.84559","0.14874","0.00566","0.12639","0.83618","0.03743","ATFsr"
"1","76","77","0.83791","0.15569","0.00641","0.12273","0.83575","0.04152","ATFsr"
"1","77","78","0.82988","0.16287","0.00725","0.11910","0.83486","0.04604","ATFsr"
"1","78","79","0.82150","0.17029","0.00820","0.11552","0.83346","0.05102","ATFsr"
"1","79","80","0.81277","0.17795","0.00928","0.11197","0.83151","0.05652","ATFsr"
"1","80","81","0.80367","0.18584","0.01049","0.10846","0.82897","0.06257","ATFsr"
"1","81","82","0.79418","0.19395","0.01187","0.10498","0.82578","0.06923","ATFsr"
