"country","diff_UHE_adl.x","cont_mort_adl","cont_prev_adl","diff_UHE_chr.x","cont_mort_chr","cont_prev_chr","diff_UHE_gal.x","cont_mort_gal","cont_prev_gal","diff_UHE_sr.x","cont_mort_sr","cont_prev_sr"
"1","AUT",1.16133965204118,0.887840666684725,0.273498985356455,5.07554145103594,3.4493816165661,1.62615983446986,3.34892816142489,1.04902911824541,2.29989904317948,2.38165509828903,1.89374987950351,0.487905218785514
"2","BEL",1.96735265758824,0.951413702765496,1.01593895482274,2.91300418843383,3.55139214173338,-0.638387953299492,1.83251862074454,0.807543666918712,1.02497495382584,0.0861788417936467,1.52460589355899,-1.43842705176535
"3","CZE",0.749393161944025,1.0922375753087,-0.342844413364658,3.88982444932825,4.54111023135412,-0.651285782025912,1.18741302430925,1.14363434639645,0.0437786779128091,2.0518741298133,1.44758092795003,0.604293201863261
"4","DEUTNP",0.409581332757907,0.909429386241448,-0.499848053483543,1.89732908736213,3.80159709396553,-1.90426800660339,1.37751937317711,1.09499078265633,0.282528590520795,1.74524370757039,2.2645096074575,-0.519265899887065
"5","DNK",0.0608517042688281,0.494991716595315,-0.434140012326484,1.85765489271666,2.92072074822088,-1.06306585550422,0.976971563358583,0.627461765771004,0.349509797587578,2.50733959859309,1.29048332101885,1.21685627757428
"6","ESP",4.02846651870874,1.36165504330578,2.66681147540294,4.89632946729244,4.51357486789038,0.38275459940207,2.3374086214311,0.741832955752879,1.59557566567822,4.19805841492382,2.97140819536997,1.22665021955387
"7","EST",1.75905264831464,1.6511179211425,0.107934727172162,5.55987079141748,6.23755606247187,-0.67768527105429,2.75653489981945,2.59950960700852,0.157025292810907,5.81847087573194,5.7716196897689,0.0468511859631526
"8","FRATNP",1.30856539456413,0.903295776312925,0.405269618251216,5.26021639369948,4.43763821290726,0.822578180792217,0.740516491455227,1.14939112020024,-0.408874628745038,2.61385110875778,2.2931742291405,0.32067687961724
"9","GRC",0.996564956808311,0.484771679009529,0.51179327779879,5.81676630433589,3.74454830470415,2.07221799963171,1.2669518286099,0.455186766134845,0.81176506247506,2.96374408630742,2.0798045374896,0.883939548817826
"10","HRV",1.60784460352094,1.18841422837591,0.419430375145031,4.19689079679905,4.47009361232105,-0.273202815521969,1.65092098719034,1.24196963193377,0.40895135525655,3.95170385003876,2.72695822541029,1.22474562462847
"11","ITA",2.35907451317186,0.859272010164558,1.49980250300727,5.32069312576675,3.42677294847413,1.8939201772926,2.21975416918855,1.10019140193068,1.11956276725787,4.51521066813738,2.47055707195116,2.04465359618623
"12","POL",1.25977200497519,1.49909241250775,-0.239320407532569,5.16008017614436,5.48052909036592,-0.320448914221569,0.607753206458078,2.13148252261873,-1.52372931616065,2.61352028699402,3.87666106240982,-1.2631407754157
"13","SWE",0.00507928224045351,0.45936552210804,-0.454286239867592,1.80219959280302,2.41150564792598,-0.609306055122961,1.84092723097198,0.655488745262188,1.18543848570979,1.0630777407242,1.2385494041578,-0.17547166343356
