"country","ex","UHE_ADL","HE_ADL","UHE_CHR","HE_CHR","UHE_GALI","HE_GALI","UHE_SR","HE_SR"
"AUT",30.9738984351505,3.02181775924386,27.9520806759067,22.8710176217801,8.10288081337044,4.43542742707457,26.538471008076,10.925190210226,20.0487082249245
"BEL",30.9454627012028,3.93033930983476,27.015123391368,24.9873903411268,5.95807236007596,4.65277329143337,26.2926894097694,9.66080818859344,21.2846545126093
"BGR",24.569633063463,2.95898609562901,21.610646967834,16.7169164422445,7.85271662121859,2.83477863368687,21.7348544297762,8.03132903700057,16.5383040264625
"CHE",32.8935812726129,2.39371124991954,30.4998700226934,24.6350542424592,8.25852703015372,5.00174404838102,27.8918372242319,7.66012925403276,25.2334520185802
"CZE",28.0203695926081,3.45039800441361,24.5699715881945,24.0980940626556,3.92227552995257,4.75359038243471,23.2667792101734,7.8717432744,20.1486263182082
"DEUTNP",30.2681672760512,3.62194675915806,26.6462205168931,25.5025664122489,4.76560086380229,6.13920846377912,24.1289588122721,12.9225736734623,17.3455936025889
"DNK",30.7589894509958,3.00468717119817,27.7543022797977,22.3992788452958,8.35971060570006,3.17842656388232,27.5805628871135,8.13069694197038,22.6282925090255
"ESP",31.6957248035637,5.7766714182563,25.9190533853074,26.8710221073266,4.82470269623706,2.01794986409413,29.6777749394696,11.6825628012459,20.0131620023178
"EST",26.5729904577066,3.20812262805921,23.3648678296474,20.2229370472896,6.35005341041699,7.1580599839508,19.4149304737558,18.0923229186639,8.48066753904275
"FIN",30.7918934762583,2.64667181754022,28.1452216587181,26.4082921770112,4.3836012992471,4.0012465493362,26.7906469269221,13.0667798085986,17.7251136676596
"FRATNP",31.5468617450227,3.92512714980312,27.6217345952196,24.5127899875233,7.03407175749933,5.33332133290247,26.2135404121202,11.9083719822533,19.6384897627693
"GRC",30.5937581600359,1.65840221416707,28.9353559458689,21.3195839561436,9.27417420389236,1.67378613369434,28.9199720263416,8.11196938424493,22.481788775791
"HRV",27.049638066739,2.93133179460538,24.1183062721336,20.9003901534252,6.14924791331386,4.851499666746,22.198138399993,11.3119293929039,15.7377086738351
"HUN",24.830038601006,1.93780069575135,22.8922379052546,15.9701157946206,8.85992280638535,3.62585554142106,21.2041830595849,10.9613700181312,13.8686685828748
"ITA",32.0227446522683,2.7983500787663,29.224394573502,22.115063141572,9.90768151069624,4.39751101567061,27.6252336365977,12.2881237821309,19.7346208701374
"LTU",24.8074719101124,2.95921352857246,21.8482583815399,19.7511474379539,5.05632447215845,4.0687127747503,20.7387591353621,13.6796271639119,11.1278447462005
"LUX",31.27248989742,3.45481918735202,27.8176707100679,25.4983999365136,5.77408996090636,6.61142569027362,24.6610642071463,11.6908892114982,19.5816006859218
"LVA",24.0863286590809,1.87070434091949,22.2156243181614,17.5745879794806,6.51174067960028,2.99616920390295,21.090159455178,13.9743434622217,10.1119851968592
"POL",26.7040389671969,3.69385265267914,23.0101863145177,21.3002491540206,5.40378981317626,6.0402691452839,20.663769821913,13.23191655652,13.4721224106768
"SVK",26.3414293482317,1.4052116736069,24.9362176746248,13.7157991108327,12.625630237399,1.91866722512909,24.4227621231026,6.25430695142977,20.0871223968019
"SVN",29.6418486035952,3.28570096454857,26.3561476390466,22.2777318893269,7.36411671426828,6.1268418398655,23.5150067637297,11.6268354072175,18.0150131963777
"SWE",32.3784387770938,2.76835451038507,29.6100842667087,22.4878807331529,9.89055804394089,4.33702989811664,28.0414088789771,8.43549313387082,23.942945643223
"PRT",30.5542657547426,4.64953533543214,25.9047304193105,22.1156809579311,8.43858479681151,4.50347681755,26.0507889371926,14.0320254470368,16.5222403077058
