"dimension","corHN_Sullivan","significance_Sullivan","corHN_CAL","significance_CAL","corHN_Multistate","significance_Multistate"
"ADL",-0.773264500910441,"***",-0.804623541785405,"***",-0.79737754447939,"**"
"CHR",0.0812915501908848,"",0.0783032397574093,"",0.334715468243757,""
"GALI",-0.375318693519405,"*",-0.366223044046686,"",-0.628665326679538,"**"
"SR",0.0470027124792773,"",0.131772238100678,"",-0.147984138899591,""
