"country","diff_UHE_ADL.x","cont_mort_prevADL","cont_prev_prevADL","diff_UHE_CHR.x","cont_mort_prevchr","cont_prev_prevchr","diff_UHE_GALI.x","cont_mort_prevGALI","cont_prev_prevGALI","diff_UHE_SR.x","cont_mort_prevSR","cont_prev_prevSR"
"AUT",1.64771953486263,1.06050227053896,0.587217264323652,4.2661592841879,3.46439264697473,0.801766637213131,2.98072224457321,1.22450152212378,1.75622072244945,2.5106727769099,2.05325452369813,0.457418253211712
"BEL",2.74338959465349,1.17235479762149,1.57103479703199,4.0513122620708,3.60873363686309,0.442578625207723,2.13326027265685,0.993175072861469,1.14008519979538,2.25374488677324,1.55220364660999,0.701541240163181
"BGR",1.54945761579413,1.42040564752144,0.129051968272678,6.0853662521061,4.90529532741807,1.18007092468814,1.61199027065128,1.30659749981884,0.30539277083245,4.63222834232482,3.09952550635537,1.53270283596948
"CHE",0.75375926602859,0.460029673208622,0.293729592819968,-1.0528124044225,2.72395386371776,-3.77676626814034,-0.930236965392639,0.492398176121932,-1.42263514151458,0.789013710280099,1.04423133376459,-0.255217623484459
"CZE",1.28792752245331,1.23572700410465,0.0522005183486502,3.8009964108259,4.46363293696857,-0.662636526142684,0.9213439433861,1.30337564956501,-0.382031706178902,2.41272301926111,2.02898950847263,0.383733510788448
"DEUTNP",1.59414033553095,1.07078326878491,0.523357066746045,3.3596601798825,3.76648336066148,-0.406823180779011,2.09194334446323,1.28516617806074,0.806777166402492,3.2148841705443,2.33390278303651,0.880981387507685
"DNK",0.32967766496497,0.715120240349896,-0.385442575384932,3.2059181951657,2.79608918663627,0.409829008529428,1.38305097130221,0.654230977373431,0.728819993928778,2.28489437484783,1.35724002590899,0.927654348938853
"ESP",0.59599956889428,1.61327381031136,-1.01727424141708,3.2591250669842,4.619763439375,-1.36063837239071,2.26369223717945,0.863845156069813,1.39984708110964,5.7420380650255,3.09918912152961,2.64284894349588
"EST",2.04933009614062,1.73972565444077,0.309604441699833,6.9495322732443,6.3869633547579,0.562568918486392,2.46086862645421,2.87006922894971,-0.409200602495477,5.7234957852605,5.95139614856354,-0.227900363302968
"FIN",1.07869560690618,0.83269468273543,0.246000924170747,3.9230144974779,4.25561877067579,-0.332604273197877,0.4619225209021,1.14935146224499,-0.687428941342865,1.487047865468,2.77342494120149,-1.28637707573346
"FRATNP",1.41614153042514,1.36493496265371,0.0512065677714326,5.4959978235283,4.585183344027,0.910814479501362,1.11752018973226,1.58308012378782,-0.46555993405555,2.6437602601143,2.65003622451696,-0.00627596440272526
"GRC",1.43059086549584,0.592320530155126,0.838270335340715,5.2334235054801,3.83646962829023,1.39695387718981,1.261695188206,0.553511242997529,0.708183945208475,4.21007124696922,2.26276194036351,1.94730930660568
"HUN",1.22086775938508,1.11816517979787,0.102702579587213,8.7233831010572,5.2622694545479,3.46111364650931,2.85529869642607,1.63735102626863,1.21794767015744,7.4285956047722,4.07244753586903,3.35614806890326
"ISR",NA,0,0.0328169243978296,NA,0,0.0490450262080583,NA,0,0.0172236327395511,NA,0,0.159118141326965
"ITA",2.70124640320139,1.22728500689582,1.47396139630557,4.2843149499369,3.44057944017727,0.843735509759611,2.05344766580098,1.24335306459826,0.810094601202731,5.294811702919,2.47064481262361,2.82416689029543
"LTU",2.57218652232498,1.96748133367728,0.6047051886477,8.5996645297338,6.86846098622837,1.73120354350539,1.39104996777138,1.90802154006383,-0.516971572292473,7.1710459485671,5.46167350559166,1.70937244297538
"LUX",0.2526508003151,0.928133946100084,-0.675483145784976,3.7191148929994,3.56406173886266,0.155053154136635,0.85030378385572,1.27803625839865,-0.427732474542909,3.4214774125418,1.98106899884506,1.44040841369675
"LVA",2.33069782043909,1.35261561068595,0.978082209753139,8.4804331389717,6.51990855434969,1.96052458462209,1.54642800190063,1.40034205848717,0.146085943413448,7.6929148017583,5.73953675527617,1.95337804648211
"POL",1.83972451618872,1.63808618111721,0.201638335071521,6.9681463742011,5.62180654639082,1.3463398278103,2.27563478944216,2.18501170469673,0.0906230847454372,4.571478038071,4.1137254116197,0.457752626451279
"PRT",3.79256795352158,1.55093272793565,2.24163522558592,8.0838299990803,4.61428357420547,3.46954642487482,2.66923896562184,1.46351166535886,1.20572730026298,7.8753581040355,3.28907888565711,4.58627921837842
"SVK",1.85334229309551,0.76838887971469,1.08495341338083,7.8221766748162,4.12949678273831,3.69267989207792,2.58068728663745,0.934724707066827,1.64596257957061,4.95163514654484,2.65854202325542,2.2930931232894
"SVN",0.50010509302941,1.10099384550364,-0.600888752474226,4.7850111189491,4.46634184373991,0.318669275209185,1.45913670677825,1.69497711680587,-0.235840410027622,2.7013709749652,2.91244496178502,-0.211073986819889
"SWE",0.62461430840149,0.561829372277414,0.0627849361240771,3.0166821451955,2.43722582377668,0.57945632141875,1.8238438425064,0.720194518812486,1.10364932369389,2.62695387868485,1.27251629893694,1.35443757974789
