"Year.x","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval","female","Year.y","pop_alive","deaths","Age1","limit","gali1","gali2","sr","chr","Lxhadlnm","Lxhgalinm","Lxhsrnm","Lxhchrnm","adlm","galim","srm","chrm","Lxhadlm","Lxhgalim","Lxhsrm","Lxhchrm","CALadl","CALgali","CALsr","CALchr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","CAL","CALuhadl","CALuhgali","CALuhsr","CALuhchr","CALuhadl2","CALuhgali2","CALuhsr2","CALuhchr2"
2017,50,0.00246,0.00246,0.5,97204,239,97084,3201399,32.93,FALSE,1,1967,0.99879146233058,0.00120853766941997,50,0.0407336398639743,0.241532818556944,0.0760806151518705,0.261316354929393,0.143851485190252,93129.4153074459,89697.7895585958,71714.3629980348,83118.3224117896,0.00837858987904121,0.0154394413063934,0.052441816388049,0.0289772345842035,96270.5729801832,95585.0772802101,91992.7386977827,94270.7741576272,0.958107050604794,0.922802793468033,0.737790918059755,0.855113827078982,28.3806862379503,27.2645142450325,17.4701886838424,21.0144131638613,31.8090180025588,4.15240432488511,5.26344634929418,14.7261357815353,11.3348170365754,32.3433863223263,33.4544283467353,42.9171177789765,39.5257990340166
2017,50,0.00272,0.00272,0.5,96965,263,96833,3104314,32.01,FALSE,1,1966,0.996274830274395,0.00372516972560466,51,0.0407336398639743,0.241532818556944,0.0760806151518705,0.261316354929393,0.143851485190252,92888.6394510518,89465.8857929989,71528.9534031221,82903.4291345723,0.0088614139735088,0.0159044743346412,0.0528136153761618,0.0294081567436486,95974.9227007032,95292.9220367537,91718.8991822801,93985.3199580423,0.955692930132456,0.920477628326794,0.735931923119191,0.852959216281757,27.4901955320608,26.4066627454807,16.7736591329468,20.2090104137388,30.8102265402283,4.11171991315933,5.18745768043164,14.4651352372645,11.1911394013238,33.3014933729311,34.3772311402034,43.6549086970363,40.3809128610955
2017,50,0.00292,0.00292,0.5,96701,282,96560,3007481,31.1,FALSE,1,1965,0.993124343687013,0.00687565631298714,52,0.0407336398639743,0.241532818556944,0.0760806151518705,0.261316354929393,0.143851485190252,92626.7597347346,89213.6558009354,71327.2927680178,82669.7005900293,0.00946584513377595,0.0164866334605986,0.0532790579593845,0.0299476136261917,95645.9779938826,94968.0506730446,91415.3741634418,93668.2584282549,0.95267077433112,0.917566832697007,0.733604710203077,0.850261931869042,26.6046697584847,25.5535740821971,16.0797603377738,19.4068651372128,29.8139517099539,4.07113801301739,5.11166047848404,14.2047923301093,11.0478237873312,34.2571863030635,35.2977087685302,44.3908406201554,41.2338720773773
2017,50,0.00319,0.00319,0.5,96419,307,96266,2910921,30.19,FALSE,1,1964,0.98977141615012,0.0102285838498797,53,0.0407336398639743,0.241532818556944,0.0760806151518705,0.261316354929393,0.143851485190252,92344.7354248546,88942.02350179,71110.1197763671,82417.9929266752,0.0101091152525989,0.0171062004100638,0.0537744085063064,0.0305217344123867,95292.8359110933,94619.2545113248,91089.3527907319,93327.7947150572,0.949454423737006,0.914468997949681,0.731127957468468,0.847391327938066,25.7218122007124,24.7030410139247,15.3870254996945,18.6062245516297,28.8208273662669,4.0306844436615,5.03610296749403,13.9452726966254,10.9049613755132,35.2098570773946,36.2152756012272,45.1244453303585,42.0841340092463
2017,50,0.00374,0.00373,0.5,96112,359,95933,2814656,29.29,FALSE,1,1963,0.986255997417725,0.0137440025822746,54,0.0407336398639743,0.241532818556944,0.0760806151518705,0.261316354929393,0.143851485190252,92025.2997269294,88634.3583466356,70864.1381225586,82132.8954712435,0.0107835598389546,0.0177557931126074,0.0542937649709454,0.0311236785177216,94898.5007539696,94229.6334993282,90724.4362450423,92947.2121487594,0.946082200805227,0.911221034436963,0.728531175145273,0.844381607411392,24.8431691688409,23.8565474448541,14.6963073484963,17.8081360508252,27.8310559501167,3.99036745124838,4.96080054929359,13.6866292379437,10.7625812873011,36.1593115011316,37.1297445991769,45.855573287827,42.9315253371844
2017,55,0.00401,0.004,0.5,95753,383,95562,2718723,28.39,FALSE,1,1962,0.981853704132107,0.0181462958678926,55,0.0580931802144727,0.278483792295234,0.108721300722257,0.324202059681159,0.1919120824633,90010.4995123446,85172.3750603796,64580.6027727491,77222.4975756421,0.0150370600092573,0.0249789415400204,0.0672930578106194,0.041315176980438,94125.0284713954,93174.9623885526,89131.3408095016,91613.8390573954,0.924814699953713,0.875105292299898,0.663534710946903,0.79342411509781,23.975242294536,23.020334920819,14.0113349321287,17.0171449108191,26.844799952699,3.95019365463589,4.88576558631283,13.4289044156713,10.6207068972948,37.1053937019369,38.0409656336138,46.5841044629723,43.7759069445958
2017,55,0.00451,0.0045,0.5,95370,429,95156,2623161,27.5,FALSE,1,1961,0.977295272562974,0.0227047274370265,56,0.0580931802144727,0.278483792295234,0.108721300722257,0.324202059681159,0.1919120824633,89628.0853435116,84810.5159084729,64306.2288089796,76894.4138811222,0.0158957835657559,0.0257915081319572,0.0679091735437204,0.042051899675225,93643.4208190169,92701.7832521955,88694.0346822737,91154.5094345043,0.92052108217122,0.871042459340214,0.660454132281398,0.789740501623875,23.1277223017339,22.2197101249114,13.3904451188358,16.2757699388699,25.8629462485669,3.89315465045749,4.77901717448062,13.1105854224861,10.4322773082605,38.0302084018906,38.9160709259137,47.2476391739192,44.5693310596936
2017,55,0.00522,0.00521,0.5,94942,495,94694,2528005,26.63,FALSE,1,1960,0.971438152268157,0.028561847731843,57,0.0580931802144727,0.278483792295234,0.108721300722257,0.324202059681159,0.1919120824633,89192.9243927707,84398.7451494066,63994.0101605523,76521.0772632203,0.0169991558757543,0.0268355734435327,0.0687008195100078,0.042998513303585,93084.2819335013,92152.8322083381,88188.4445973193,90622.2987812303,0.915004220621229,0.865822132782337,0.656495902449961,0.785007433482075,22.2879525454788,21.4265892724435,12.7734882578247,15.5392320067926,24.8856509760039,3.83638046006574,4.67276436125786,12.7937442822045,10.2447225373214,38.9507294840618,39.7871133852539,47.9080933062006,45.3590715613175
2017,55,0.00563,0.00561,0.5,94447,530,94182,2433311,25.76,FALSE,1,1959,0.965037813879642,0.0349621861203582,58,0.0580931802144727,0.278483792295234,0.108721300722257,0.324202059681159,0.1919120824633,88710.6681010405,83942.4104553764,63648.0016151091,76107.3362494415,0.0182048603511698,0.0279764704983033,0.0695658866100682,0.0440329205275661,92467.4298424061,91547.1200555288,87630.1456672906,90034.8914788728,0.908975698244151,0.860117647508483,0.652170566949659,0.779835397362169,21.4603943606476,20.6452771771991,12.1628692495668,14.8104724123125,23.9142128237358,3.77994652841881,4.56714834177204,12.4788020323863,10.0582918185353,39.865733704683,40.6529355180363,48.5645892086505,46.1440789947996
2017,55,0.00609,0.00607,0.5,93917,570,93632,2339129,24.91,FALSE,1,1958,0.958829518082074,0.0411704819179256,59,0.0580931802144727,0.278483792295234,0.108721300722257,0.324202059681159,0.1919120824633,88192.6193501585,83452.2071707736,63276.3127479337,75662.8878947963,0.0193743875813647,0.0290831348589408,0.0704049973126454,0.0450362902920677,91817.9373419817,90908.8879168877,87039.8392916224,89415.1620673731,0.903128062093176,0.854584325705296,0.647975013436773,0.774818548539661,20.6369368493355,19.8679907056182,11.553802936622,14.0836840154204,22.9491750098561,3.72388441278332,4.46222817540088,12.1659347854563,9.87308940201785,40.7747094029272,41.5130531655448,49.2167597756002,46.9239143921617
