"country","ex","HE_adl","HE_chr","HE_gal","HE_sr","UHE_adl","UHE_chr","UHE_gal","UHE_sr"
"1","AUT",34.9501561128911,31.1424877674836,7.95817251596841,27.2826317855029,22.5146734926433,3.80766834540742,26.9919835969226,7.66752432738812,12.4354826202477
"2","BEL",34.8937162418391,29.082804613658,6.22307556119259,28.6833535095163,22.3505546394859,5.81091162818108,28.6706406806465,6.21036273232277,12.5431616023532
"3","CZE",32.9665185882738,28.9189891801097,4.52996794658942,28.0209094495169,25.7136614683303,4.0475294081641,28.4365506416844,4.94560913875696,7.2528571199435
"4","DEUTNP",34.4284618766679,30.2420726989499,5.62550016216603,26.9668920300406,18.241353037699,4.18638917771802,28.8029617145019,7.46156984662734,16.1871088389689
"5","DNK",34.1756622939105,31.3426727931193,9.45642799724363,29.9819981144403,22.9525149597264,2.83298950079118,24.7192342966668,4.19366417947017,11.2231473341841
"6","ESP",36.6109142740786,29.9632163766035,6.96053939411525,31.9450236614742,19.8388962728569,6.64769789747506,29.6503748799633,4.66589061260436,16.7720180012217
"7","EST",33.6149024926536,28.5260944066334,7.23734781682182,24.5901733469987,9.67224125269712,5.08880808602018,26.3775546758317,9.02472914565481,23.9426612399564
"8","FRATNP",36.6016305962123,32.8040958934991,7.03208693556482,31.7799927560354,22.6925463625004,3.79753470271322,29.5695436606475,4.82163784017699,13.909084233712
"9","GRC",34.8235030001225,32.3923384989183,9.88533578656272,32.4363704914486,24.5357811496388,2.43116450120413,24.9381672135597,2.38713250867382,10.2877218504837
"10","HRV",32.0889854834741,27.5449588988559,5.88785975795539,25.9970557683712,16.7778730131018,4.54402658461822,26.2011257255187,6.09192971510293,15.3111124703723
"11","ITA",35.8649064525333,31.2060574214324,9.81438906666531,29.3744533485509,18.7751250249664,4.65884903110097,26.050517385868,6.49045310398239,17.089781427567
"12","POL",32.8661399502088,27.9976202140814,6.26319854782626,25.4014473553073,16.3957595107298,4.8685197361274,26.6029414023826,7.46469259490155,16.470380439479
"13","SWE",35.1333129397369,32.5450011199143,9.14413916049761,29.2960782680738,24.746288550831,2.58831181982258,25.9891737792393,5.8372346716631,10.3870243889059
