"country","ex","HE_ADL","HE_CHR","HE_GALI","HE_SR","UHE_ADL","UHE_CHR","UHE_GALI","UHE_SR"
"AUT",30.7831859312672,27.8141156384462,8.07495977096261,26.407027361423,19.9551200581715,2.96907029282104,22.7082261603046,4.37615856984423,10.8280658730957
"BEL",30.7786854642018,26.8859523073733,5.93636193078059,26.1612131349386,21.1748172700784,3.89273315682849,24.8423235334212,4.61747232926315,9.60386819412336
"BGR",24.4334900540872,21.5039995469257,7.82861416265002,21.6243959338048,16.467330428058,2.92949050716147,16.6048758914372,2.8090941202824,7.96615962602918
"CHE",32.8091453384859,30.42147815153,8.2456340331409,27.8166963502956,25.1718082464203,2.38766718695593,24.563511305345,4.99244898819027,7.63733709206556
"CZE",27.9496855513405,24.5258540828634,3.91625242330323,23.220671337515,20.1144591518831,3.42383146847706,24.0334331280372,4.72901421382544,7.83522639945739
"DEUTNP",30.1619808682446,26.5650526908501,4.7518124593759,24.0494557581197,17.2912228197826,3.59692817739449,25.4101684088687,6.11252511012492,12.870758048462
"DNK",30.6133424767205,27.6333922668186,8.32948117608464,27.4556292675209,22.5323090498557,2.97995020990194,22.2838613006359,3.15771320919962,8.08103342686487
"ESP",31.6367913227511,25.8643607975116,4.81668471967489,29.6221910322146,19.9800929068239,5.77243052523946,26.8201066030762,2.01460029053647,11.6566984159272
"EST",26.2594049658914,23.1343654687825,6.30692748276649,19.2364161579142,8.42494152971654,3.12503949710885,19.9524774831249,7.02298880797719,17.8344634361749
"FIN",30.6634598363047,28.0469968585841,4.36334717920035,26.7092629515346,17.6821930573244,2.61646297772066,26.3001126571044,3.95419688477019,12.9812667789804
"FRATNP",31.4307276591123,27.5365592767216,7.02159568008938,26.1369766141161,19.5855701213171,3.89416838239068,24.4091319790229,5.29375104499618,11.8451575377951
"GRC",30.6877451772757,29.0160252346648,9.28126984339488,29.0014313148752,22.523056346822,1.67171994261092,21.4064753338808,1.68631386240049,8.16468883045368
"HUN",24.6976802720223,22.7947747967642,8.84265110107756,21.1136268738724,13.828062292912,1.90290547525811,15.8550291709447,3.58405339814989,10.8696179791103
"ITA",32.0368429877027,29.2352691826127,9.91082552169299,27.6359447941238,19.7422082048027,2.80157380509004,22.1260174660098,4.400898193579,12.2946347829001
"LTU",24.4467929571159,21.5449778075337,4.99975379092397,20.4463662957684,10.9927389291027,2.90181514958216,19.4470391661919,4.00042666134754,13.4540540280132
"LUX",31.2106229244166,27.7687512228639,5.76294456481162,24.6155257879268,19.5449594968322,3.44187170155278,25.447678359605,6.59509713648985,11.6656634275844
"LVA",24.031988957838,22.1688264923545,6.50339135472757,21.0443177834379,10.0982260419998,1.86316246548353,17.5285976031105,2.98767117440014,13.9337629158382
"POL",26.5969497334799,22.9282911959607,5.39008699220381,20.5897796188548,13.4343503305236,3.66865853751927,21.2068627412761,6.00717011462515,13.1625994029563
"SVK",26.2500629524529,24.8497525097979,12.5801346934273,24.3376397043668,20.0271395899736,1.40031044265507,13.6699282590256,1.91242324808616,6.22292336247936
"SVN",29.55264634041,26.2963969292887,7.35636310047346,23.4612058112357,17.9856020542196,3.25624941112131,22.1962832399365,6.09144052917428,11.5670442861903
"SWE",32.2365487755347,29.4956083786192,9.86781663231966,27.934266281335,23.8600285789901,2.74094039691551,22.368732143215,4.3022824941997,8.37652019654455
"PRT",30.2959463206869,25.70345061419,8.41972152109567,25.8600411138836,16.3939605708678,4.59249570649688,21.8762247995912,4.43590520680325,13.9019857498191
