"value","ourname"
"13 -14.8165265   0.1338589","DKFgali"
"21   1.2815643  -0.0487095","DKFgali"
"23  -6.4776474   0.0533493","DKFgali"
"12  -4.1783824   0.0164037","DKFsr"
"13 -14.7996621   0.1359488","DKFsr"
"21  -0.8383332  -0.0251980","DKFsr"
"23  -9.0702023   0.0765058","DKFsr"
"12  -7.6385281   0.0536909","DKMadl"
"13 -14.6707306   0.1348378","DKMadl"
"21   0.9895608  -0.0447931","DKMadl"
"23  -8.5157420   0.0848683","DKMadl"
"12  -2.4918700   0.0289298","DKMchr"
"13 -16.1340400   0.1747908","DKMchr"
"21   0.5074866  -0.0436917","DKMchr"
"23 -12.3494313   0.1374683","DKMchr"
"12  -7.1217803   0.0481954","DKMgali"
"13 -18.8086690   0.1871184","DKMgali"
"21  -1.0482992  -0.0157564","DKMgali"
"23  -7.3891905   0.0714947","DKMgali"
"12  -4.5755792   0.0233165","DKMsr"
"13 -21.6054153   0.2188542","DKMsr"
"21  -1.1654475  -0.0177849","DKMsr"
"23  -9.6896998   0.0935206","DKMsr"
"12  -7.2157819   0.0540421","EEFadl"
"13 -11.1015745   0.0910486","EEFadl"
"21  -0.6054874  -0.0171163","EEFadl"
"23 -11.9161974   0.1139723","EEFadl"
"12  -3.3895615   0.0521349","EEFchr"
"13 -15.0160630   0.1769895","EEFchr"
"21   1.7918355  -0.0613724","EEFchr"
"23 -10.3527946   0.1056607","EEFchr"
"12  -5.8381828   0.0443226","EEFgali"
"13 -12.5730282   0.1040514","EEFgali"
"21  -0.8445682  -0.0154589","EEFgali"
"23  -9.5094928   0.0843359","EEFgali"
"12  -3.7638318   0.0291609","EEFsr"
"13 -13.2760375   0.1185473","EEFsr"
"21  -0.2670119  -0.0420995","EEFsr"
"23 -11.7075002   0.1039002","EEFsr"
"12  -7.1805237   0.0532211","EEMadl"
"13  -9.7545479   0.0837421","EEMadl"
"21   0.9768143  -0.0427980","EEMadl"
"23  -5.3813964   0.0418717","EEMadl"
"12  -3.5194949   0.0585267","EEMchr"
"13 -12.0201528   0.1431958","EEMchr"
"21  -0.0620362  -0.0306893","EEMchr"
"23  -7.1341226   0.0751848","EEMchr"
"12  -6.4008680   0.0527905","EEMgali"
"13  -9.1113613   0.0709233","EEMgali"
"21  -0.5998489  -0.0197087","EEMgali"
"23  -7.3981717   0.0657152","EEMgali"
"12  -4.7043792   0.0463810","EEMsr"
"13 -13.1276571   0.1222584","EEMsr"
"21  -1.5537597  -0.0200763","EEMsr"
"23  -8.0867854   0.0675320","EEMsr"
"12 -11.0330504   0.1048006","ESFadl"
"13 -14.0949113   0.1266493","ESFadl"
"21  -1.5639021  -0.0095320","ESFadl"
"23  -9.6981921   0.0853300","ESFadl"
"12  -2.9440466   0.0464645","ESFchr"
"13  -9.1596808   0.0893915","ESFchr"
"21   2.6487138  -0.0758748","ESFchr"
"23 -12.9694787   0.1358391","ESFchr"
"12 -10.7833554   0.0984258","ESFgali"
"13 -12.5169023   0.1060364","ESFgali"
"21  -4.5264054   0.0359462","ESFgali"
"23 -13.3696366   0.1355977","ESFgali"
"12  -6.1782499   0.0555451","ESFsr"
"13  -9.6323726   0.0553445","ESFsr"
"21  -0.7076669  -0.0251301","ESFsr"
"23 -13.3924432   0.1263669","ESFsr"
"12 -12.0900414   0.1129450","ESMadl"
"13  -9.0465471   0.0660499","ESMadl"
"21  -3.5905080   0.0238791","ESMadl"
"23  -8.2228806   0.0741936","ESMadl"
"12  -2.4940171   0.0437559","ESMchr"
"13 -15.4952117   0.1774682","ESMchr"
"21   2.4073276  -0.0666340","ESMchr"
"23  -7.3285770   0.0697103","ESMchr"
"12  -4.7418594   0.0191914","ESMgali"
"13  -9.4808340   0.0682873","ESMgali"
"21   1.1762090  -0.0286441","ESMgali"
"23  -5.6508738   0.0557057","ESMgali"
"12  -4.6926986   0.0343709","ESMsr"
"13 -12.7752781   0.1036329","ESMsr"
"21   0.0793702  -0.0334827","ESMsr"
"23  -7.2493807   0.0561973","ESMsr"
"12  -6.9807388   0.0454580","FRFadl"
"13 -17.8621407   0.1674458","FRFadl"
"21   0.0964948  -0.0226396","FRFadl"
"23  -4.6859418   0.0163634","FRFadl"
"12  -3.2676064   0.0506361","FRFchr"
"13 -15.2646929   0.1645630","FRFchr"
"21   0.7152942  -0.0447553","FRFchr"
"23 -11.9298018   0.1170658","FRFchr"
"12  -5.9781568   0.0336041","FRFgali"
"13 -20.4976142   0.1981621","FRFgali"
"21  -0.7423714  -0.0140080","FRFgali"
"23  -5.5427681   0.0280148","FRFgali"
"12  -5.1437210   0.0342212","FRFsr"
"13 -39.9926099   0.4189615","FRFsr"
"21  -2.3390802  -0.0013018","FRFsr"
"23  -8.9506142   0.0665633","FRFsr"
"12 -10.6981484   0.0942217","FRMadl"
"13 -11.1044525   0.0901231","FRMadl"
"21  -0.1403467  -0.0211243","FRMadl"
"23 -13.3615324   0.1369019","FRMadl"
"12  -1.6034007   0.0200425","FRMchr"
"13  -6.2285331   0.0456121","FRMchr"
"21   0.4435570  -0.0392872","FRMchr"
"23 -13.3217071   0.1464235","FRMchr"
"12  -9.1649348   0.0799261","FRMgali"
"13 -10.5133996   0.0732030","FRMgali"
"21   0.3635484  -0.0337024","FRMgali"
"23 -10.2018986   0.1020628","FRMgali"
"12  -4.8629712   0.0298606","FRMsr"
"13  -9.5731596   0.0454064","FRMsr"
"21  -1.3988171  -0.0172873","FRMsr"
"23 -10.5143852   0.0990741","FRMsr"
"12 -14.4120464   0.1367917","GRFadl"
"13 -19.9618455   0.2005337","GRFadl"
"21  -2.1672411   0.0006747","GRFadl"
"23  -8.9435709   0.0826798","GRFadl"
"12  -5.3587746   0.0736594","GRFchr"
"13 -21.4991020   0.2623287","GRFchr"
"21   3.0261923  -0.0854963","GRFchr"
"23 -16.6721419   0.1839374","GRFchr"
"12 -14.6182105   0.1367223","GRFgali"
"13 -19.6963135   0.1989429","GRFgali"
"21  -1.6801197  -0.0090377","GRFgali"
"23  -9.0932653   0.0819710","GRFgali"
"12 -10.5167205   0.1058981","GRFsr"
"13 -27.9209692   0.2951147","GRFsr"
"21   0.6987331  -0.0475650","GRFsr"
"23 -13.2189245   0.1258706","GRFsr"
"12  -9.3748521   0.0657932","GRMadl"
"13 -13.8631056   0.1313035","GRMadl"
"21  -0.2697517  -0.0303952","GRMadl"
"23  -3.6210104   0.0209661","GRMadl"
"12  -6.8977492   0.0989676","GRMchr"
"13 -16.9829354   0.2094742","GRMchr"
"21   5.4284437  -0.1165974","GRMchr"
"23 -10.6797835   0.1143879","GRMchr"
"12 -10.6539860   0.0816535","GRMgali"
"13 -13.6768187   0.1289213","GRMgali"
"21   0.4820595  -0.0343358","GRMgali"
"23  -5.4490465   0.0440408","GRMgali"
"12  -8.9929232   0.0811939","GRMsr"
"13 -13.3903470   0.1240651","GRMsr"
"21   2.2892098  -0.0723062","GRMsr"
"23  -9.6239663   0.0856844","GRMsr"
"12  -9.1868775   0.0885630","HRFadl"
"13 -12.5211406   0.1090735","HRFadl"
"21   0.8511860  -0.0291781","HRFadl"
"23  -9.5162741   0.0975612","HRFadl"
"12  -5.3701799   0.0885461","HRFchr"
"13 -15.9274973   0.1936444","HRFchr"
"21   0.9251462  -0.0524776","HRFchr"
"23 -12.8661433   0.1456511","HRFchr"
"12  -6.8414372   0.0596891","HRFgali"
"13 -17.5111545   0.1737413","HRFgali"
"21  -1.7211861   0.0060247","HRFgali"
"23  -9.5878508   0.0966078","HRFgali"
"12  -4.4828003   0.0380900","HRFsr"
"13 -19.6422580   0.2102884","HRFsr"
"21  -0.9753916  -0.0145707","HRFsr"
"23 -11.4685192   0.1090909","HRFsr"
"12  -7.9874696   0.0669002","HRMadl"
"13 -10.5422897   0.0938686","HRMadl"
"21   2.4862971  -0.0575627","HRMadl"
"23  -7.0014492   0.0661852","HRMadl"
"12   0.0756446   0.0031527","HRMchr"
"13  -6.8602037   0.0641427","HRMchr"
"21   0.2095266  -0.0349034","HRMchr"
"23  -9.6827987   0.1100115","HRMchr"
"12  -5.8507015   0.0420726","HRMgali"
"13 -12.5223922   0.1170035","HRMgali"
"21  -0.9216655  -0.0087866","HRMgali"
"23  -7.5585932   0.0726546","HRMgali"
"12  -5.5178383   0.0526206","HRMsr"
"13 -12.4367312   0.1171729","HRMsr"
"21  -3.3377768   0.0227729","HRMsr"
"23  -9.5027483   0.0909956","HRMsr"
"12 -10.9898777   0.0992544","ITFadl"
"13 -12.6568625   0.1049520","ITFadl"
"21   0.7330960  -0.0393619","ITFadl"
"23 -11.1835239   0.1026811","ITFadl"
"12  -4.6622120   0.0729548","ITFchr"
"13 -16.7874561   0.1937644","ITFchr"
"21   3.5854786  -0.0820289","ITFchr"
"23 -12.3265452   0.1277848","ITFchr"
"12  -7.5642373   0.0599379","ITFgali"
"13 -27.0742267   0.2773094","ITFgali"
"21   0.2170866  -0.0316244","ITFgali"
"23  -6.1483776   0.0428775","ITFgali"
"12  -6.0015737   0.0540896","ITFsr"
"13 -11.0417968   0.0782169","ITFsr"
"21   0.4924638  -0.0433571","ITFsr"
"23 -13.7508125   0.1282309","ITFsr"
"12  -8.6418742   0.0625559","ITMadl"
"13 -13.9438649   0.1281913","ITMadl"
"21  -0.7880049  -0.0143831","ITMadl"
"23  -8.0402391   0.0656007","ITMadl"
"12  -5.5191780   0.0811526","ITMchr"
"13 -10.2337377   0.0935034","ITMchr"
"21   2.8637169  -0.0692546","ITMchr"
"23 -10.9754613   0.1143213","ITMchr"
"12  -6.6562793   0.0451863","ITMgali"
"13 -13.8926385   0.1240332","ITMgali"
"21  -0.0018748  -0.0254725","ITMgali"
"23  -9.2311708   0.0824432","ITMgali"
"12  -5.8868537   0.0499873","ITMsr"
"13 -13.7833807   0.1216011","ITMsr"
"21  -1.2135847  -0.0154581","ITMsr"
"23 -11.6496773   0.1060077","ITMsr"
"12  -7.6981443   0.0630404","PLFadl"
"13 -12.6463010   0.1125185","PLFadl"
"21   1.3432090  -0.0422049","PLFadl"
"23  -7.7467386   0.0680225","PLFadl"
"12  -3.6707734   0.0546438","PLFchr"
"13 -29.7631537   0.3714451","PLFchr"
"21  -0.2947614  -0.0326221","PLFchr"
"23 -10.1154983   0.1063413","PLFchr"
"12  -6.8086668   0.0578789","PLFgali"
"13 -13.4657741   0.1195778","PLFgali"
"21   1.6016056  -0.0475451","PLFgali"
"23  -7.8405244   0.0689994","PLFgali"
"12  -4.5679257   0.0363020","PLFsr"
"13 -13.0646959   0.1141426","PLFsr"
"21  -0.4578804  -0.0279752","PLFsr"
"23 -10.8783688   0.0996390","PLFsr"
"12  -5.7126440   0.0332685","PLMadl"
"13  -8.1914701   0.0597815","PLMadl"
"21   2.8571863  -0.0687689","PLMadl"
"23  -7.1593880   0.0611535","PLMadl"
"12  -0.3955524   0.0046115","PLMchr"
"13  -4.7279242   0.0386800","PLMchr"
"21   1.9198421  -0.0657842","PLMchr"
"23  -7.4815060   0.0753157","PLMchr"
"12  -4.3967883   0.0230772","PLMgali"
"13  -6.1584412   0.0257904","PLMgali"
"21   0.2448561  -0.0338709","PLMgali"
"23  -8.7780990   0.0825071","PLMgali"
"12  -2.3416582   0.0061914","PLMsr"
"13  -5.7988686   0.0114684","PLMsr"
"21   1.2732786  -0.0538269","PLMsr"
"23  -7.7265956   0.0629652","PLMsr"
"12 -10.7039802   0.0911503","SEFadl"
"13  -9.7222085   0.0623992","SEFadl"
"21  -1.8716703   0.0011936","SEFadl"
"23 -19.3561768   0.2067400","SEFadl"
"12  -4.3178374   0.0626176","SEFchr"
"13 -39.5539743   0.4535369","SEFchr"
"21   1.3505684  -0.0525002","SEFchr"
"23 -10.5375691   0.1034066","SEFchr"
"12  -5.4415596   0.0305867","SEFgali"
"13 -11.7960277   0.0911500","SEFgali"
"21  -1.1812073  -0.0079825","SEFgali"
"23 -14.6123904   0.1459287","SEFgali"
"12  -6.8971308   0.0547099","SEFsr"
"13 -15.1307879   0.1356147","SEFsr"
"21  -2.2893709  -0.0022063","SEFsr"
"23 -12.0573259   0.1077945","SEFsr"
"12  -9.6719458   0.0797331","SEMadl"
"13 -14.6299831   0.1332145","SEMadl"
"21  -0.0020182  -0.0248774","SEMadl"
"23 -10.1975802   0.0975743","SEMadl"
"12  -2.5448976   0.0327748","SEMchr"
"13 -99.1610041   1.1136562","SEMchr"
"21  -0.0222264  -0.0318273","SEMchr"
"23 -11.9114883   0.1263136","SEMchr"
"12  -8.6515747   0.0727880","SEMgali"
"13 -17.0965851   0.1629624","SEMgali"
"21  -0.8226232  -0.0134133","SEMgali"
"23  -8.9659244   0.0823919","SEMgali"
"12  -5.6188826   0.0405852","SEMsr"
"13 -18.4729548   0.1740410","SEMsr"
"21  -0.2464158  -0.0280389","SEMsr"
"23 -10.3842339   0.0954746","SEMsr"
