"Year.x","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval","female","Year.y","pop_alive","deaths","Age1","limit","gali1","gali2","sr","chr","Lxhadlnm","Lxhgalinm","Lxhsrnm","Lxhchrnm","adlm","galim","srm","chrm","Lxhadlm","Lxhgalim","Lxhsrm","Lxhchrm","CALadl","CALgali","CALsr","CALchr","exhadlnm","exhgalinm","exhsrnm","exhchrnm","CAL","CALuhadl","CALuhgali","CALuhsr","CALuhchr","CALuhadl2","CALuhgali2","CALuhsr2","CALuhchr2","country"
"0","0","-0.00111","-0.00112","0","1575","-105","1628","438579","3.97","0","1","0","0.000513842209926008","-0.000513842209926008","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","575.483729012994","1190.7397161634","-2648.22876290859","-835.420020127698","0.00194664722991009","0.000554995317442601","0.007910059485631","0.0045350912366528","1426.99228933091","1549.5177301306","780.920499652799","1144.1635651114","-0.00973323614955002","-0.00277497658721304","-0.039550297428156","-0.0226754561832631","2.2926774413756","2.398955437073","0.1610345564916","1.3523558636814","4.6293604949383","1.73069463761065","1.65402071615324","4.0999661728728","2.8699181828725","-2.8986658573278","-2.9753397787852","-0.529394322065599","-1.7594423120658","AUT"
"0","0","-0.00097","-0.00097","0","1708","-89","1753","438643","3.96","0","1","0","0.00039908279636891","-0.000399082796368915","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","701.321155165802","1308.11383343731","-2532.74193018751","-714.999133434205","0.00196873568553109","0.000576223724241501","0.007927292798653","0.0045549030467144","1549.9389288097","1670.8590150817","902.281116110607","1266.254027991","-0.00984367842765599","-0.00288111862120799","-0.039636463993265","-0.022774515233572","2.2011305320694","2.3208517598909","0.120765478737201","1.3220128657982","4.5501238414991","1.75507662449597","1.66791909556544","4.0720036725201","2.84187905918929","-2.7950472170031","-2.8822047459337","-0.478120168979004","-1.7082447823097","BEL"
"0","0","-0.00419","-0.00417","0","3963","-368","4147","646637","5.73","0","1","0","0.00188420860625893","-0.00188420860625948","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","3040.7526209574","3533.62504515069","-596.635744157495","1431.70044539611","0.00167879912109647","0.0003002042108389","0.0076883214644989","0.0042892799750283","3958.03128899839","4054.9573969334","3225.3596029375","3633.7234602165","-0.00839399560548293","-0.00150102105419403","-0.038441607322494","-0.021446399875142","4.2425285461779","4.2181594871352","1.5078407895121","2.6480435645784","5.6651412938026","1.35981067687576","1.39788205920329","4.08043461852321","2.98643297700399","-4.3053306169267","-4.2672592345992","-1.5847066752794","-2.6787083167986","BGR"
"0","0","-0.00086","-0.00086","0","1253","-81","1294","378569","3.43","0","1","0","0.000287477134992997","-0.000287477134992779","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","248.965067976009","880.204617250391","-2918.8601944869","-1135.21574628599","0.0019907513475465","0.000597038514492299","0.0079461385090657","0.0045753779806925","1090.3565931239","1216.272137009","456.212586989102","813.229435366404","-0.00995375673773202","-0.00298519257246099","-0.039730692545329","-0.0228768899034619","1.6974163502174","1.8439570602569","-0.218864022608301","0.978165392180401","4.0254819839994","1.78073054045734","1.65788901232649","3.9105997226616","2.6718320542728","-2.244751443542","-2.3675929716729","-0.114882261337698","-1.3536499297266","CHE"
"0","0","-0.00267","-0.00266","0","2456","-248","2579","552040","4.95","0","1","0","0.00112154782080998","-0.00112154782080931","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1500.8638561292","2073.55570871709","-1894.51969408221","8.42898761259858","0.00182859356423209","0.000442236084793501","0.0078145651060719","0.0044277261877451","2383.7452882564","2497.2697058405","1701.2626589366","2083.62636059739","-0.00914296782116097","-0.00221118042396706","-0.039072825530359","-0.022138630938726","3.2941158875829","3.3397784715871","0.818929964970298","2.0130174270562","5.3013869684059","1.56515594935132","1.55210254618842","4.1819209855775","3.01401981440491","-3.7362310190546","-3.7492844222176","-1.1194659828284","-2.2873671540011","CZE"
"0","0","-0.00146","-0.00146","0","1529","-137","1598","453154","4.16","0","1","0","0.000749065520023962","-0.000749065520024853","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","548.641154072","1163.63718245519","-2662.83208699391","-856.7296242374","0.0019009420518418","0.0005113465381503","0.0078730560781851","0.0044935101722929","1401.98841584689","1524.2656017423","757.532943158789","1119.8722100445","-0.00950471025920896","-0.00255673269075196","-0.039365280390926","-0.022467550861465","2.4666162158522","2.5649860005031","0.288156223009199","1.4813668546114",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEU"
"0","0","-0.00063","-0.00062","0","1453","-57","1482","379374","3.42","0","1","0","0.000542708711597006","-0.000542708711597008","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","434.55017501401","1055.56762293851","-2759.5152943109","-962.408376383799","0.00194095082306163","0.0005496109560904","0.0079051768331126","0.0045297906684297","1282.5739288303","1406.2207162757","642.349437713696","1002.4943507299","-0.00970475411530802","-0.00274805478045193","-0.039525884165563","-0.0226489533421479","1.8426708798272","1.9685152201381","-0.0447732576506006","1.0800166661124","3.3998218245888","1.3999806348452","1.29561842750915","3.2800511136125","2.20832630197234","-1.9998411897436","-2.1042033970797","-0.119770710976297","-1.1914955226165","DNK"
"0","0","-0.0012","-0.00119","0","1242","-114","1299","522135","4.91","0","1","0","0.000642028657740989","-0.000642028657740875","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","254.437259284401","885.038992784495","-2912.5277591842","-1129.40727784911","0.00192188371396312","0.0005312543377249","0.0078904557871985","0.0045127564478717","1102.1009636097","1227.5911430628","466.856145611688","824.438057013293","-0.00960941856981501","-0.00265627168862403","-0.039452278935993","-0.022563782239358","2.8309941288596","2.9417150322237","0.416913817658301","1.7610672293868","5.3726802953981","2.02643464921125","1.94811843363686","4.6431721132659","3.2863537203142","-3.3462456461868","-3.4245618617612","-0.7295081821322","-2.0863265750839","ESP"
"0","0","-0.00277","-0.00277","0","4581","-245","4704","807093","7.04","0","1","0","0.00102385773394598","-0.00102385773394576","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","3565.1718580313","4045.1045646766","-223.814567439302","1886.2148168797","0.00184694727951683","0.0004601641946463","0.0078274807555466","0.0044435755780264","4493.69817344479","4588.76175161771","3733.24246508161","4156.62180516349","-0.00923473639758399","-0.00230082097323203","-0.039137403777734","-0.0222178778901331","4.9292121776395","4.9199034543312","1.7463675831558","3.1387895921848","7.7125018198183","1.97785751381333","2.04343559846585","5.41970381093221","4.06389299610427","-5.7346443060049","-5.6690662213525","-2.29279800888609","-3.6486088237141","EST"
"0","0","-0.00179","-0.00178","0","2301","-166","2385","517753","4.57","0","1","0","0.00109715028127499","-0.00109715028127455","0","0.0102402955712878","0.054485138886457","0.0032542213607601","0.039985107231985","0.023147361558344","1311.35616383761","1893.2316923434","-2051.1393619342","-165.371895659293","0.0018337894110795","0.000446908047945799","0.0078201808172545","0.0044330681110359","2190.36155654391","2305.76388459009","1514.37193395219","1893.34909058771","-0.00916894705539706","-0.00223454023972902","-0.0391009040862731","-0.0221653405551789","2.6795278749606","2.7832975039714","0.381635216047101","1.6504206025672","5.3422189184718","1.90841673081278","1.84620302310198","4.5113551409788","3.20176367163548","-3.433802187659","-3.4960158953698","-0.830863777493001","-2.1404552468364","FIN"
