country,sex,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
AUT,male,3.02181775924386,22.8710176217801,4.43542742707457,10.925190210226,30.9738984351505,27.9520806759067,8.10288081337044,26.538471008076,20.0487082249245,29.0261015648495,32.047919324093364,51.8971191866296,33.46152899192407,39.951291775075504,Sullivan
AUT,female,4.65646179405688,27.0996704151402,7.40441798496508,13.4150466640248,34.9501561128911,30.2936943188342,7.85048569775085,27.545738127926,21.5351094488663,25.0498438871089,29.70630568116578,52.1495143022491,32.45426187207398,38.4648905511337,Sullivan
BEL,male,3.93033930983476,24.9873903411268,4.65277329143337,9.66080818859344,30.9454627012028,27.015123391368,5.95807236007596,26.2926894097694,21.2846545126093,29.0545372987972,32.98487660863196,54.041927639924,33.70731059023057,38.71534548739064,Sullivan
BEL,female,6.67725057741732,28.9715042381098,6.77905080508027,11.8970673895388,34.8937162418391,28.2164656644218,5.92221200372926,28.1146654367588,22.9966488523003,25.1062837581609,31.783534335578217,54.0777879962707,31.88533456324117,37.003351147699696,Sullivan
BGR,male,2.95898609562901,16.7169164422445,2.83477863368687,8.03132903700057,24.569633063463,21.610646967834,7.85271662121859,21.7348544297762,16.5383040264625,35.430366936537,38.38935303216601,52.147283378781495,38.265145570223865,43.461695973537566,Sullivan
BGR,female,4.51300523315325,22.7713534366143,4.45347230740049,12.6592898964788,30.2996171460165,25.7866119128633,7.52826370940222,25.8461448386161,17.6403272495377,29.7003828539835,34.21338808713675,52.4717362905978,34.15385516138399,42.359672750462295,Sullivan
CHE,male,2.39371124991954,24.6350542424592,5.00174404838102,7.66012925403276,32.8935812726129,30.4998700226934,8.25852703015372,27.8918372242319,25.2334520185802,27.1064187273871,29.500129977306642,51.7414729698463,32.10816277576812,34.76654798141986,Sullivan
CHE,female,3.17709243108753,23.6227974017983,4.08813548656353,8.47810772161912,36.3298597683838,33.1527673372963,12.7070623665855,32.2417242818202,27.8517520467647,23.6701402316162,26.847232662703732,47.2929376334145,27.758275718179732,32.14824795323532,Sullivan
CZE,male,3.45039800441361,24.0980940626556,4.75359038243471,7.8717432744,28.0203695926081,24.5699715881945,3.92227552995257,23.2667792101734,20.1486263182082,31.9796304073919,35.43002841180551,56.0777244700475,36.73322078982661,39.8513736817919,Sullivan
CZE,female,4.73391344959323,27.8962014327101,5.67315348212137,10.2783264106255,32.9665185882738,28.2326051386806,5.07031715556377,27.2933651061525,22.6881921776484,27.0334814117262,31.76739486131943,54.9296828444363,32.70663489384757,37.311807822351696,Sullivan
DEUTNP,male,3.62194675915806,25.5025664122489,6.13920846377912,12.9225736734623,30.2681672760512,26.6462205168931,4.76560086380229,24.1289588122721,17.3455936025889,29.7318327239488,33.353779483106855,55.234399136197695,35.87104118772792,42.654406397411094,Sullivan
DEUTNP,female,5.22225338499924,28.8401818823411,8.23956181268693,16.1392477456295,34.4284618766679,29.2062084916687,5.58827999432679,26.188900063981,18.2892141310384,25.571538123332097,30.79379150833134,54.411720005673196,33.811099936019026,41.710785868961594,Sullivan
DNK,male,3.00468717119817,22.3992788452958,3.17842656388232,8.13069694197038,30.7589894509958,27.7543022797977,8.35971060570006,27.5805628871135,22.6282925090255,29.2410105490042,32.24569772020237,51.6402893943,32.41943711288652,37.37170749097458,Sullivan
DNK,female,3.32999860058942,25.6221511489717,4.56704501984572,10.4209789646759,34.1756622939105,30.845663693321,8.55351114493872,29.6086172740647,23.7546833292346,25.8243377060895,29.15433630667892,51.446488855061205,30.391382725935223,36.245316670765405,Sullivan
