country,ex,HE_ADL,HE_CHR,HE_GALI,HE_SR,UHE_ADL,UHE_CHR,UHE_GALI,UHE_SR,sex,dead,NHLE_ADL,NHLE_CHR,NHLE_GALI,NHLE_SR,method
AUT,34.9501561128911,31.1424877674836,7.95817251596841,27.2826317855029,22.5146734926433,3.80766834540742,26.9919835969226,7.66752432738812,12.4354826202477,female,25.0498438871089,28.85751223251632,52.0418274840315,32.71736821449702,37.4853265073566,Multistate
BEL,34.8937162418391,29.082804613658,6.22307556119259,28.6833535095163,22.3505546394859,5.81091162818108,28.6706406806465,6.21036273232277,12.5431616023532,female,25.1062837581609,30.91719538634198,53.7769244388074,31.31664649048367,37.6494453605141,Multistate
CZE,32.9665185882738,28.9189891801097,4.52996794658942,28.0209094495169,25.7136614683303,4.0475294081641,28.4365506416844,4.94560913875696,7.2528571199435,female,27.0334814117262,31.0810108198903,55.4700320534106,31.97909055048316,34.2863385316697,Multistate
DEUTNP,34.4284618766679,30.2420726989499,5.62550016216603,26.9668920300406,18.241353037699,4.18638917771802,28.8029617145019,7.46156984662734,16.1871088389689,female,25.571538123332097,29.757927301050117,54.374499837833994,33.03310796995944,41.758646962301,Multistate
DNK,34.1756622939105,31.3426727931193,9.45642799724363,29.9819981144403,22.9525149597264,2.83298950079118,24.7192342966668,4.19366417947017,11.2231473341841,female,25.8243377060895,28.65732720688068,50.54357200275631,30.01800188555967,37.0474850402736,Multistate
ESP,36.6109142740786,29.9632163766035,6.96053939411525,31.9450236614742,19.8388962728569,6.64769789747506,29.6503748799633,4.66589061260436,16.7720180012217,female,23.389085725921397,30.036783623396456,53.0394606058847,28.05497633852576,40.1611037271431,Multistate
EST,33.6149024926536,28.5260944066334,7.23734781682182,24.5901733469987,9.67224125269712,5.08880808602018,26.3775546758317,9.02472914565481,23.9426612399564,female,26.3850975073464,31.47390559336658,52.762652183178105,35.40982665300121,50.3277587473028,Multistate
FRATNP,36.6016305962123,32.8040958934991,7.03208693556482,31.7799927560354,22.6925463625004,3.79753470271322,29.5695436606475,4.82163784017699,13.909084233712,female,23.398369403787697,27.19590410650092,52.967913064435194,28.220007243964687,37.3074536374997,Multistate
GRC,34.8235030001225,32.3923384989183,9.88533578656272,32.4363704914486,24.5357811496388,2.43116450120413,24.9381672135597,2.38713250867382,10.2877218504837,female,25.1764969998775,27.60766150108163,50.1146642134372,27.56362950855132,35.4642188503612,Multistate
HRV,32.0889854834741,27.5449588988559,5.88785975795539,25.9970557683712,16.7778730131018,4.54402658461822,26.2011257255187,6.09192971510293,15.3111124703723,female,27.911014516525903,32.455041101144126,54.1121402420446,34.00294423162883,43.2221269868982,Multistate
ITA,35.8649064525333,31.2060574214324,9.81438906666531,29.3744533485509,18.7751250249664,4.65884903110097,26.050517385868,6.49045310398239,17.089781427567,female,24.135093547466703,28.793942578567673,50.1856109333347,30.625546651449092,41.2248749750337,Multistate
