country,dimension,mort,prev,method
ESP,CHRONIC,4.619763439,-1.360638372,CAL
ESP,GALI,0.863845156,1.399847081,CAL
ESP,SR,3.099189122,2.642848943,CAL
EST,ADL,1.739725654,0.309604442,CAL
EST,CHRONIC,6.386963355,0.562568918,CAL
EST,GALI,2.870069229,-0.409200602,CAL
EST,SR,5.951396149,-0.227900363,CAL
FIN,ADL,0.832694683,0.246000924,CAL
FIN,CHRONIC,4.255618771,-0.332604273,CAL
FIN,GALI,1.149351462,-0.687428941,CAL
FIN,SR,2.773424941,-1.286377076,CAL
FRA,ADL,1.364934963,0.051206568,CAL
FRA,CHRONIC,4.585183344,0.91081448,CAL
FRA,GALI,1.583080124,-0.465559934,CAL
FRA,SR,2.650036225,-0.006275964,CAL
GRC,ADL,0.59232053,0.838270335,CAL
GRC,CHRONIC,3.836469628,1.396953877,CAL
GRC,GALI,0.553511243,0.708183945,CAL
GRC,SR,2.26276194,1.947309307,CAL
HUN,ADL,1.11816518,0.10270258,CAL
HUN,CHRONIC,5.262269455,3.461113647,CAL
HUN,GALI,1.637351026,1.21794767,CAL
HUN,SR,4.072447536,3.356148069,CAL
ISR,ADL,0.0,0.032816924,CAL
ISR,CHRONIC,0.0,0.049045026,CAL
ISR,GALI,0.0,0.017223633,CAL
ISR,SR,0.0,0.159118141,CAL
ITA,ADL,1.227285007,1.473961396,CAL
ITA,CHRONIC,3.44057944,0.84373551,CAL
ITA,GALI,1.243353065,0.810094601,CAL
ITA,SR,2.470644813,2.82416689,CAL
LTU,ADL,1.967481334,0.604705189,CAL
LTU,CHRONIC,6.868460986,1.731203544,CAL
LTU,GALI,1.90802154,-0.516971572,CAL
LTU,SR,5.461673506,1.709372443,CAL
LUX,ADL,0.928133946,-0.675483146,CAL
LUX,CHRONIC,3.564061739,0.155053154,CAL
LUX,GALI,1.278036258,-0.427732475,CAL
LUX,SR,1.981068999,1.440408414,CAL
LVA,ADL,1.352615611,0.97808221,CAL
LVA,CHRONIC,6.519908554,1.960524585,CAL
LVA,GALI,1.400342058,0.146085943,CAL
LVA,SR,5.739536755,1.953378046,CAL
POL,ADL,1.638086181,0.201638335,CAL
POL,CHRONIC,5.621806546,1.346339828,CAL
POL,GALI,2.185011705,0.090623085,CAL
POL,SR,4.113725412,0.457752626,CAL
PRT,ADL,1.550932728,2.241635226,CAL
PRT,CHRONIC,4.614283574,3.469546425,CAL
PRT,GALI,1.463511665,1.2057273,CAL
PRT,SR,3.289078886,4.586279218,CAL
SVK,ADL,0.76838888,1.084953413,CAL
SVK,CHRONIC,4.129496783,3.692679892,CAL
SVK,GALI,0.934724707,1.64596258,CAL
SVK,SR,2.658542023,2.293093123,CAL
SVN,ADL,1.100993846,-0.600888752,CAL
SVN,CHRONIC,4.466341844,0.318669275,CAL
SVN,GALI,1.694977117,-0.23584041,CAL
SVN,SR,2.912444962,-0.211073987,CAL
SWE,ADL,0.561829372,0.062784936,CAL
SWE,CHRONIC,2.437225824,0.579456321,CAL
SWE,GALI,0.720194519,1.103649324,CAL
SWE,SR,1.272516299,1.35443758,CAL
AUT,ADL,0.887840667,0.273498985,Multistate
AUT,CHRONIC,3.449381617,1.626159834,Multistate
AUT,GAL,1.049029118,2.299899043,Multistate
AUT,SR,1.89374988,0.487905219,Multistate
BEL,ADL,0.951413703,1.015938955,Multistate
BEL,CHRONIC,3.551392142,-0.638387953,Multistate
BEL,GAL,0.807543667,1.024974954,Multistate
BEL,SR,1.524605894,-1.438427052,Multistate
CZE,ADL,1.092237575,-0.342844413,Multistate
CZE,CHRONIC,4.541110231,-0.651285782,Multistate
CZE,GAL,1.143634346,0.043778678,Multistate
CZE,SR,1.447580928,0.604293202,Multistate
DEU,ADL,0.909429386,-0.499848053,Multistate
DEU,CHRONIC,3.801597094,-1.904268007,Multistate
DEU,GAL,1.094990783,0.282528591,Multistate
DEU,SR,2.264509607,-0.5192659,Multistate
DNK,ADL,0.494991717,-0.434140012,Multistate
DNK,CHRONIC,2.920720748,-1.063065856,Multistate
DNK,GAL,0.627461766,0.349509798,Multistate
DNK,SR,1.290483321,1.216856278,Multistate
ESP,ADL,1.361655043,2.666811475,Multistate
ESP,CHRONIC,4.513574868,0.382754599,Multistate
ESP,GAL,0.741832956,1.595575666,Multistate
ESP,SR,2.971408195,1.22665022,Multistate
EST,ADL,1.651117921,0.107934727,Multistate
EST,CHRONIC,6.237556062,-0.677685271,Multistate
EST,GAL,2.599509607,0.157025293,Multistate
EST,SR,5.77161969,0.046851186,Multistate
FRA,ADL,0.903295776,0.405269618,Multistate
FRA,CHRONIC,4.437638213,0.822578181,Multistate
FRA,GAL,1.14939112,-0.408874629,Multistate
FRA,SR,2.293174229,0.32067688,Multistate
GRC,ADL,0.484771679,0.511793278,Multistate
GRC,CHRONIC,3.744548305,2.072218,Multistate
GRC,GAL,0.455186766,0.811765062,Multistate
GRC,SR,2.079804537,0.883939549,Multistate
HRV,ADL,1.188414228,0.419430375,Multistate
HRV,CHRONIC,4.470093612,-0.273202816,Multistate
HRV,GAL,1.241969632,0.408951355,Multistate
HRV,SR,2.726958225,1.224745625,Multistate
ITA,ADL,0.85927201,1.499802503,Multistate
ITA,CHRONIC,3.426772948,1.893920177,Multistate
ITA,GAL,1.100191402,1.119562767,Multistate
ITA,SR,2.470557072,2.044653596,Multistate
POL,ADL,1.499092413,-0.239320408,Multistate
POL,CHRONIC,5.48052909,-0.320448914,Multistate
POL,GAL,2.131482523,-1.523729316,Multistate
POL,SR,3.876661062,-1.263140775,Multistate
SWE,ADL,0.459365522,-0.45428624,Multistate
SWE,CHRONIC,2.411505648,-0.609306055,Multistate
SWE,GAL,0.655488745,1.185438486,Multistate
SWE,SR,1.238549404,-0.175471663,Multistate
