"age","ex1","ex2","p1","p2","sex","region","health"
56,5.6179,7.4804,0.95915,0.04088,"F","S","IADL"
57,5.5859,7.4852,0.9537,0.04633,"F","S","IADL"
58,5.5494,7.4798,0.94758,0.05245,"F","S","IADL"
59,5.5081,7.463,0.94074,0.0593,"F","S","IADL"
60,5.4616,7.4337,0.93309,0.06695,"F","S","IADL"
61,5.4094,7.3909,0.92456,0.07548,"F","S","IADL"
62,5.3515,7.3338,0.91509,0.08496,"F","S","IADL"
63,5.2873,7.2619,0.90458,0.09547,"F","S","IADL"
64,5.2168,7.1747,0.89298,0.10708,"F","S","IADL"
65,5.1398,7.0722,0.8802,0.11987,"F","S","IADL"
66,5.0562,6.9546,0.86618,0.1339,"F","S","IADL"
67,4.966,6.8221,0.85085,0.14924,"F","S","IADL"
68,4.8692,6.6755,0.83415,0.16594,"F","S","IADL"
69,4.7661,6.5157,0.81605,0.18406,"F","S","IADL"
70,4.6568,6.3437,0.79651,0.20361,"F","S","IADL"
71,4.5417,6.1607,0.77551,0.22463,"F","S","IADL"
72,4.4212,5.9682,0.75305,0.24709,"F","S","IADL"
73,4.2957,5.7676,0.72917,0.27099,"F","S","IADL"
74,4.1658,5.5605,0.7039,0.29627,"F","S","IADL"
75,4.032,5.3484,0.67731,0.32288,"F","S","IADL"
76,3.8949,5.1328,0.64948,0.35072,"F","S","IADL"
77,3.7553,4.9153,0.62055,0.37967,"F","S","IADL"
78,3.6137,4.6973,0.59064,0.40961,"F","S","IADL"
79,3.4708,4.4801,0.55991,0.44035,"F","S","IADL"
80,3.3273,4.265,0.52854,0.47173,"F","S","IADL"
81,3.1837,4.053,0.49674,0.50355,"F","S","IADL"
82,3.0407,3.8451,0.46471,0.53557,"F","S","IADL"
83,2.8989,3.6422,0.43266,0.56759,"F","S","IADL"
84,2.7588,3.4451,0.40084,0.5994,"F","S","IADL"
85,2.6208,3.2542,0.36947,0.63075,"F","S","IADL"
86,2.4854,3.0701,0.33877,0.66143,"F","S","IADL"
87,2.3529,2.8931,0.30896,0.69122,"F","S","IADL"
88,2.2238,2.7236,0.28025,0.71991,"F","S","IADL"
89,2.0981,2.5617,0.25283,0.74732,"F","S","IADL"
90,1.9762,2.4075,0.22686,0.77327,"F","S","IADL"
91,1.8582,2.261,0.20248,0.79763,"F","S","IADL"
92,1.7442,2.1221,0.1798,0.8203,"F","S","IADL"
93,1.6343,1.9909,0.15889,0.8412,"F","S","IADL"
94,1.5284,1.8672,0.13979,0.86029,"F","S","IADL"
95,1.4267,1.7507,0.1225,0.87757,"F","S","IADL"
96,1.3291,1.6414,0.10698,0.89308,"F","S","IADL"
97,1.2354,1.539,0.09317,0.90689,"F","S","IADL"
98,1.1457,1.4432,0.08096,0.91909,"F","S","IADL"
99,1.0598,1.3538,0.07025,0.92979,"F","S","IADL"
100,0.9777,1.2706,0.06091,0.93913,"F","S","IADL"
101,0.8992,1.1933,0.05279,0.94724,"F","S","IADL"
102,0.8242,1.1216,0.04577,0.95426,"F","S","IADL"
103,0.7528,1.0554,0.0397,0.96032,"F","S","IADL"
104,0.6847,0.9943,0.03447,0.96555,"F","S","IADL"
105,0.6201,0.9381,0.02997,0.97005,"F","S","IADL"
106,0.5588,0.8865,0.02609,0.97393,"F","S","IADL"
107,0.5008,0.8394,0.02275,0.97726,"F","S","IADL"
108,0.4463,0.7965,0.01987,0.98014,"F","S","IADL"
109,0.3951,0.7575,0.01739,0.98262,"F","S","IADL"
110,0.3475,0.7223,0.01525,0.98476,"F","S","IADL"
50,2.0698,4.3506,0.98762,0.01239,"M","S","IADL"
51,2.074,4.3669,0.98606,0.01395,"M","S","IADL"
52,2.0779,4.3794,0.98431,0.0157,"M","S","IADL"
53,2.0812,4.3878,0.98235,0.01766,"M","S","IADL"
54,2.0841,4.3917,0.98016,0.01985,"M","S","IADL"
55,2.0862,4.3908,0.97771,0.0223,"M","S","IADL"
56,2.0876,4.3849,0.97498,0.02504,"M","S","IADL"
57,2.0882,4.3737,0.97193,0.02809,"M","S","IADL"
58,2.0878,4.3569,0.96853,0.03149,"M","S","IADL"
59,2.0863,4.3344,0.96476,0.03526,"M","S","IADL"
60,2.0836,4.3059,0.96056,0.03946,"M","S","IADL"
61,2.0796,4.2714,0.95591,0.04412,"M","S","IADL"
62,2.0742,4.2308,0.95076,0.04927,"M","S","IADL"
63,2.0672,4.1841,0.94506,0.05497,"M","S","IADL"
64,2.0586,4.1314,0.93878,0.06126,"M","S","IADL"
65,2.0481,4.0727,0.93186,0.06818,"M","S","IADL"
66,2.0358,4.0082,0.92425,0.07579,"M","S","IADL"
67,2.0216,3.9382,0.91591,0.08414,"M","S","IADL"
68,2.0053,3.8629,0.90678,0.09327,"M","S","IADL"
69,1.987,3.7826,0.89682,0.10324,"M","S","IADL"
70,1.9665,3.6977,0.88596,0.1141,"M","S","IADL"
71,1.9438,3.6086,0.87417,0.1259,"M","S","IADL"
72,1.9189,3.5158,0.8614,0.13868,"M","S","IADL"
73,1.8919,3.4196,0.8476,0.15249,"M","S","IADL"
74,1.8627,3.3206,0.83273,0.16737,"M","S","IADL"
75,1.8314,3.2194,0.81676,0.18335,"M","S","IADL"
76,1.7981,3.1163,0.79965,0.20046,"M","S","IADL"
77,1.7628,3.012,0.7814,0.21873,"M","S","IADL"
78,1.7256,2.9068,0.76197,0.23817,"M","S","IADL"
79,1.6866,2.8013,0.74137,0.25878,"M","S","IADL"
80,1.6461,2.696,0.71961,0.28056,"M","S","IADL"
81,1.604,2.5913,0.69669,0.3035,"M","S","IADL"
82,1.5605,2.4875,0.67264,0.32756,"M","S","IADL"
83,1.5159,2.3852,0.64751,0.35271,"M","S","IADL"
84,1.4702,2.2845,0.62134,0.37888,"M","S","IADL"
85,1.4237,2.186,0.59422,0.40602,"M","S","IADL"
86,1.3764,2.0897,0.56623,0.43403,"M","S","IADL"
87,1.3285,1.996,0.53746,0.46281,"M","S","IADL"
88,1.2803,1.905,0.50806,0.49224,"M","S","IADL"
89,1.2317,1.817,0.47814,0.52214,"M","S","IADL"
90,1.183,1.7321,0.44789,0.55238,"M","S","IADL"
91,1.1342,1.6503,0.41747,0.58278,"M","S","IADL"
92,1.0855,1.5718,0.3871,0.61313,"M","S","IADL"
93,1.037,1.4966,0.35699,0.64322,"M","S","IADL"
94,0.9887,1.4247,0.32737,0.67283,"M","S","IADL"
95,0.9408,1.3562,0.29847,0.7017,"M","S","IADL"
96,0.8933,1.291,0.27056,0.7296,"M","S","IADL"
97,0.8462,1.2292,0.24385,0.75629,"M","S","IADL"
98,0.7996,1.1706,0.21857,0.78156,"M","S","IADL"
99,0.7536,1.1152,0.1949,0.80521,"M","S","IADL"
100,0.7081,1.0629,0.17299,0.82711,"M","S","IADL"
101,0.6633,1.0138,0.15295,0.84714,"M","S","IADL"
102,0.6191,0.9676,0.1348,0.86528,"M","S","IADL"
103,0.5757,0.9243,0.11854,0.88153,"M","S","IADL"
104,0.5331,0.8838,0.10411,0.89595,"M","S","IADL"
105,0.4914,0.8461,0.09139,0.90866,"M","S","IADL"
106,0.4508,0.811,0.08025,0.9198,"M","S","IADL"
107,0.4113,0.7784,0.07054,0.9295,"M","S","IADL"
108,0.3732,0.7483,0.0621,0.93794,"M","S","IADL"
109,0.3365,0.7205,0.05478,0.94526,"M","S","IADL"
110,0.3016,0.6949,0.04843,0.9516,"M","S","IADL"
50,3.206,4.9783,0.97983,0.02018,"F","W","ADL"
51,3.189,5.0093,0.978,0.02201,"F","W","ADL"
52,3.1705,5.0386,0.976,0.02401,"F","W","ADL"
53,3.1503,5.0659,0.97383,0.02618,"F","W","ADL"
54,3.1284,5.0907,0.97148,0.02854,"F","W","ADL"
55,3.1045,5.1126,0.96893,0.03109,"F","W","ADL"
56,3.0786,5.1311,0.96617,0.03385,"F","W","ADL"
57,3.0506,5.1456,0.96318,0.03684,"F","W","ADL"
58,3.0203,5.1556,0.95994,0.04008,"F","W","ADL"
59,2.9877,5.1605,0.95645,0.04357,"F","W","ADL"
60,2.9525,5.1598,0.95269,0.04734,"F","W","ADL"
61,2.9147,5.1529,0.94863,0.0514,"F","W","ADL"
62,2.8742,5.1393,0.94427,0.05576,"F","W","ADL"
63,2.831,5.1184,0.93958,0.06045,"F","W","ADL"
64,2.7849,5.0898,0.93456,0.06548,"F","W","ADL"
65,2.7359,5.053,0.92918,0.07086,"F","W","ADL"
66,2.684,5.0078,0.92343,0.07661,"F","W","ADL"
67,2.6292,4.9538,0.9173,0.08275,"F","W","ADL"
68,2.5715,4.891,0.91078,0.08928,"F","W","ADL"
69,2.511,4.8191,0.90385,0.09621,"F","W","ADL"
70,2.4478,4.7384,0.89651,0.10355,"F","W","ADL"
71,2.382,4.6489,0.88876,0.11131,"F","W","ADL"
72,2.3137,4.551,0.88059,0.11948,"F","W","ADL"
73,2.2432,4.445,0.872,0.12807,"F","W","ADL"
74,2.1706,4.3315,0.86301,0.13707,"F","W","ADL"
75,2.0962,4.2109,0.85363,0.14646,"F","W","ADL"
76,2.0203,4.0841,0.84386,0.15623,"F","W","ADL"
77,1.9431,3.9517,0.83373,0.16636,"F","W","ADL"
78,1.8649,3.8147,0.82327,0.17683,"F","W","ADL"
79,1.7861,3.6738,0.81251,0.1876,"F","W","ADL"
80,1.7069,3.5299,0.80149,0.19863,"F","W","ADL"
81,1.6277,3.3839,0.79025,0.20987,"F","W","ADL"
82,1.5488,3.2368,0.77884,0.22129,"F","W","ADL"
83,1.4705,3.0894,0.76731,0.23283,"F","W","ADL"
84,1.3932,2.9426,0.75572,0.24442,"F","W","ADL"
85,1.317,2.7971,0.74414,0.25601,"F","W","ADL"
86,1.2423,2.6536,0.73262,0.26754,"F","W","ADL"
87,1.1693,2.513,0.72124,0.27893,"F","W","ADL"
88,1.0982,2.3757,0.71006,0.2901,"F","W","ADL"
89,1.0293,2.2423,0.69917,0.30101,"F","W","ADL"
90,0.9627,2.1133,0.68862,0.31156,"F","W","ADL"
91,0.8985,1.989,0.6785,0.32169,"F","W","ADL"
92,0.8368,1.8698,0.66886,0.33134,"F","W","ADL"
93,0.7778,1.7559,0.65977,0.34043,"F","W","ADL"
94,0.7215,1.6476,0.6513,0.34891,"F","W","ADL"
95,0.6679,1.5448,0.64349,0.35671,"F","W","ADL"
96,0.6171,1.4478,0.63641,0.3638,"F","W","ADL"
97,0.5689,1.3565,0.63009,0.37013,"F","W","ADL"
98,0.5235,1.2709,0.62457,0.37565,"F","W","ADL"
99,0.4807,1.1909,0.61986,0.38036,"F","W","ADL"
100,0.4405,1.1164,0.61599,0.38424,"F","W","ADL"
101,0.4027,1.0474,0.61295,0.38728,"F","W","ADL"
102,0.3674,0.9836,0.61074,0.38949,"F","W","ADL"
103,0.3343,0.925,0.60932,0.39091,"F","W","ADL"
104,0.3035,0.8713,0.60866,0.39157,"F","W","ADL"
105,0.2748,0.8224,0.6087,0.39153,"F","W","ADL"
106,0.2481,0.778,0.60938,0.39085,"F","W","ADL"
107,0.2233,0.7379,0.61062,0.3896,"F","W","ADL"
108,0.2003,0.7021,0.61234,0.38788,"F","W","ADL"
109,0.1789,0.6701,0.61445,0.38577,"F","W","ADL"
110,0.1592,0.6419,0.61685,0.38337,"F","W","ADL"
50,2.1713,4.0388,0.97537,0.02464,"M","W","ADL"
51,2.1559,4.0565,0.97328,0.02674,"M","W","ADL"
52,2.1391,4.071,0.97102,0.029,"M","W","ADL"
53,2.1208,4.0818,0.96858,0.03144,"M","W","ADL"
54,2.101,4.0884,0.96596,0.03406,"M","W","ADL"
55,2.0797,4.0906,0.96315,0.03688,"M","W","ADL"
56,2.0566,4.0877,0.96012,0.0399,"M","W","ADL"
57,2.0318,4.0795,0.95689,0.04314,"M","W","ADL"
58,2.0053,4.0656,0.95343,0.0466,"M","W","ADL"
59,1.9769,4.0456,0.94973,0.0503,"M","W","ADL"
60,1.9466,4.0192,0.94579,0.05424,"M","W","ADL"
61,1.9144,3.9862,0.9416,0.05844,"M","W","ADL"
62,1.8803,3.9463,0.93715,0.06289,"M","W","ADL"
63,1.8443,3.8995,0.93244,0.0676,"M","W","ADL"
64,1.8065,3.8458,0.92746,0.07258,"M","W","ADL"
65,1.7668,3.7851,0.92221,0.07783,"M","W","ADL"
66,1.7254,3.7176,0.9167,0.08334,"M","W","ADL"
67,1.6822,3.6436,0.91093,0.08912,"M","W","ADL"
68,1.6376,3.5633,0.90491,0.09515,"M","W","ADL"
69,1.5914,3.4771,0.89864,0.10142,"M","W","ADL"
70,1.544,3.3854,0.89214,0.10792,"M","W","ADL"
71,1.4953,3.2888,0.88543,0.11464,"M","W","ADL"
72,1.4457,3.1879,0.87854,0.12154,"M","W","ADL"
73,1.3953,3.0832,0.87148,0.1286,"M","W","ADL"
74,1.3442,2.9754,0.86429,0.13579,"M","W","ADL"
75,1.2926,2.8652,0.85701,0.14307,"M","W","ADL"
76,1.2408,2.7533,0.84967,0.15042,"M","W","ADL"
77,1.1889,2.6403,0.84232,0.15777,"M","W","ADL"
78,1.1372,2.5269,0.835,0.1651,"M","W","ADL"
79,1.0858,2.4138,0.82776,0.17234,"M","W","ADL"
80,1.0348,2.3016,0.82065,0.17945,"M","W","ADL"
81,0.9846,2.1908,0.81373,0.18638,"M","W","ADL"
82,0.9352,2.0819,0.80705,0.19306,"M","W","ADL"
83,0.8868,1.9755,0.80066,0.19946,"M","W","ADL"
84,0.8394,1.8719,0.7946,0.20552,"M","W","ADL"
85,0.7934,1.7716,0.78894,0.21119,"M","W","ADL"
86,0.7486,1.6748,0.7837,0.21643,"M","W","ADL"
87,0.7053,1.5818,0.77894,0.22119,"M","W","ADL"
88,0.6635,1.4928,0.77467,0.22546,"M","W","ADL"
89,0.6232,1.408,0.77094,0.2292,"M","W","ADL"
90,0.5845,1.3274,0.76774,0.23239,"M","W","ADL"
91,0.5474,1.2512,0.7651,0.23504,"M","W","ADL"
92,0.512,1.1794,0.763,0.23714,"M","W","ADL"
93,0.4781,1.1119,0.76144,0.2387,"M","W","ADL"
94,0.4459,1.0488,0.7604,0.23974,"M","W","ADL"
95,0.4153,0.99,0.75984,0.2403,"M","W","ADL"
96,0.3862,0.9354,0.75973,0.24041,"M","W","ADL"
97,0.3587,0.885,0.76003,0.24011,"M","W","ADL"
98,0.3327,0.8385,0.76069,0.23945,"M","W","ADL"
99,0.3081,0.796,0.76165,0.23849,"M","W","ADL"
100,0.2848,0.7572,0.76287,0.23726,"M","W","ADL"
101,0.2629,0.722,0.7643,0.23584,"M","W","ADL"
102,0.2423,0.6902,0.76587,0.23427,"M","W","ADL"
103,0.2229,0.6618,0.76755,0.23258,"M","W","ADL"
104,0.2047,0.6364,0.76929,0.23084,"M","W","ADL"
105,0.1875,0.6141,0.77105,0.22908,"M","W","ADL"
106,0.1715,0.5944,0.7728,0.22733,"M","W","ADL"
107,0.1564,0.5774,0.77449,0.22564,"M","W","ADL"
108,0.1423,0.5628,0.7761,0.22403,"M","W","ADL"
109,0.1291,0.5503,0.77761,0.22252,"M","W","ADL"
110,0.1168,0.5398,0.77898,0.22114,"M","W","ADL"
50,2.7006,3.9725,0.97312,0.0269,"F","E","ADL"
51,2.679,3.9643,0.97074,0.02928,"F","E","ADL"
52,2.656,3.9534,0.96817,0.03185,"F","E","ADL"
53,2.6313,3.9396,0.96539,0.03463,"F","E","ADL"
54,2.6049,3.9226,0.96239,0.03763,"F","E","ADL"
55,2.5769,3.9025,0.95916,0.04086,"F","E","ADL"
56,2.547,3.8789,0.95568,0.04435,"F","E","ADL"
57,2.5153,3.8517,0.95193,0.0481,"F","E","ADL"
58,2.4818,3.8208,0.9479,0.05213,"F","E","ADL"
59,2.4463,3.7862,0.94358,0.05645,"F","E","ADL"
60,2.4089,3.7477,0.93895,0.06109,"F","E","ADL"
61,2.3696,3.7053,0.93399,0.06605,"F","E","ADL"
62,2.3284,3.659,0.92869,0.07135,"F","E","ADL"
63,2.2853,3.6088,0.92303,0.07701,"F","E","ADL"
64,2.2402,3.5547,0.917,0.08305,"F","E","ADL"
65,2.1933,3.4969,0.91059,0.08946,"F","E","ADL"
66,2.1447,3.4355,0.90378,0.09628,"F","E","ADL"
67,2.0943,3.3707,0.89656,0.1035,"F","E","ADL"
68,2.0424,3.3025,0.88891,0.11116,"F","E","ADL"
69,1.9889,3.2314,0.88083,0.11924,"F","E","ADL"
70,1.934,3.1574,0.8723,0.12778,"F","E","ADL"
71,1.8779,3.0809,0.86332,0.13676,"F","E","ADL"
72,1.8207,3.0022,0.85387,0.14622,"F","E","ADL"
73,1.7625,2.9216,0.84395,0.15614,"F","E","ADL"
74,1.7036,2.8395,0.83355,0.16654,"F","E","ADL"
75,1.644,2.756,0.82267,0.17744,"F","E","ADL"
76,1.5839,2.6717,0.81129,0.18882,"F","E","ADL"
77,1.5236,2.5868,0.79942,0.20069,"F","E","ADL"
78,1.4632,2.5016,0.78705,0.21307,"F","E","ADL"
79,1.4029,2.4165,0.77416,0.22597,"F","E","ADL"
80,1.3428,2.3317,0.76077,0.23937,"F","E","ADL"
81,1.2832,2.2476,0.74684,0.2533,"F","E","ADL"
82,1.2242,2.1644,0.73239,0.26777,"F","E","ADL"
83,1.1659,2.0824,0.71739,0.28278,"F","E","ADL"
84,1.1085,2.0017,0.70184,0.29834,"F","E","ADL"
85,1.0521,1.9226,0.68572,0.31447,"F","E","ADL"
86,0.9969,1.8454,0.66901,0.33119,"F","E","ADL"
87,0.9429,1.77,0.6517,0.34851,"F","E","ADL"
88,0.8903,1.6967,0.63375,0.36646,"F","E","ADL"
89,0.8391,1.6256,0.61515,0.38507,"F","E","ADL"
90,0.7895,1.5568,0.59587,0.40437,"F","E","ADL"
91,0.7414,1.4904,0.57588,0.42437,"F","E","ADL"
92,0.6949,1.4263,0.55515,0.44511,"F","E","ADL"
93,0.6501,1.3648,0.53365,0.46663,"F","E","ADL"
94,0.6069,1.3057,0.51135,0.48894,"F","E","ADL"
95,0.5654,1.2491,0.48825,0.51205,"F","E","ADL"
96,0.5256,1.1951,0.46432,0.53596,"F","E","ADL"
97,0.4874,1.1435,0.43958,0.56068,"F","E","ADL"
98,0.4509,1.0944,0.41407,0.58617,"F","E","ADL"
99,0.4161,1.0478,0.38785,0.61238,"F","E","ADL"
100,0.3829,1.0036,0.36103,0.63919,"F","E","ADL"
101,0.3513,0.9618,0.33375,0.66644,"F","E","ADL"
102,0.3212,0.9223,0.30624,0.69394,"F","E","ADL"
103,0.2927,0.8851,0.27876,0.7214,"F","E","ADL"
104,0.2656,0.8502,0.25166,0.74849,"F","E","ADL"
105,0.2401,0.8174,0.2253,0.77483,"F","E","ADL"
106,0.216,0.7867,0.20008,0.80004,"F","E","ADL"
107,0.1934,0.7582,0.17638,0.82373,"F","E","ADL"
108,0.1722,0.7316,0.15451,0.84558,"F","E","ADL"
109,0.1525,0.7069,0.13472,0.86536,"F","E","ADL"
110,0.1341,0.6841,0.1171,0.88297,"F","E","ADL"
50,1.6573,2.9757,0.96237,0.03765,"M","E","ADL"
51,1.6412,2.9906,0.95955,0.04047,"M","E","ADL"
52,1.6239,3.0035,0.95656,0.04347,"M","E","ADL"
53,1.6054,3.0142,0.95337,0.04666,"M","E","ADL"
54,1.5857,3.0222,0.94998,0.05005,"M","E","ADL"
55,1.5646,3.0274,0.94638,0.05365,"M","E","ADL"
56,1.5423,3.0295,0.94257,0.05747,"M","E","ADL"
57,1.5186,3.0282,0.93853,0.0615,"M","E","ADL"
58,1.4935,3.0233,0.93427,0.06577,"M","E","ADL"
59,1.4671,3.0145,0.92978,0.07026,"M","E","ADL"
60,1.4394,3.0016,0.92505,0.07499,"M","E","ADL"
61,1.4104,2.9846,0.92008,0.07996,"M","E","ADL"
62,1.3801,2.9632,0.91488,0.08517,"M","E","ADL"
63,1.3485,2.9374,0.90943,0.09062,"M","E","ADL"
64,1.3158,2.9072,0.90375,0.09631,"M","E","ADL"
65,1.2821,2.8727,0.89783,0.10223,"M","E","ADL"
66,1.2473,2.8338,0.89168,0.10838,"M","E","ADL"
67,1.2116,2.7907,0.88532,0.11475,"M","E","ADL"
68,1.1751,2.7436,0.87873,0.12134,"M","E","ADL"
69,1.1379,2.6927,0.87195,0.12813,"M","E","ADL"
70,1.1001,2.6382,0.86497,0.1351,"M","E","ADL"
71,1.0619,2.5805,0.85783,0.14226,"M","E","ADL"
72,1.0234,2.5199,0.85052,0.14957,"M","E","ADL"
73,0.9847,2.4566,0.84308,0.15702,"M","E","ADL"
74,0.9459,2.3912,0.83551,0.16458,"M","E","ADL"
75,0.9072,2.3238,0.82785,0.17225,"M","E","ADL"
76,0.8687,2.2549,0.82012,0.17998,"M","E","ADL"
77,0.8305,2.1849,0.81235,0.18777,"M","E","ADL"
78,0.7927,2.1142,0.80455,0.19557,"M","E","ADL"
79,0.7555,2.043,0.79675,0.20337,"M","E","ADL"
80,0.7189,1.9717,0.78899,0.21114,"M","E","ADL"
81,0.683,1.9007,0.78128,0.21884,"M","E","ADL"
82,0.648,1.8303,0.77366,0.22647,"M","E","ADL"
83,0.6139,1.7606,0.76616,0.23398,"M","E","ADL"
84,0.5807,1.692,0.75879,0.24135,"M","E","ADL"
85,0.5485,1.6248,0.75158,0.24856,"M","E","ADL"
86,0.5173,1.559,0.74456,0.25559,"M","E","ADL"
87,0.4872,1.4949,0.73775,0.26241,"M","E","ADL"
88,0.4583,1.4326,0.73116,0.269,"M","E","ADL"
89,0.4304,1.3723,0.72481,0.27535,"M","E","ADL"
90,0.4037,1.314,0.71872,0.28145,"M","E","ADL"
91,0.3782,1.2579,0.71289,0.28728,"M","E","ADL"
92,0.3538,1.204,0.70735,0.29282,"M","E","ADL"
93,0.3305,1.1524,0.70208,0.29809,"M","E","ADL"
94,0.3083,1.103,0.69711,0.30307,"M","E","ADL"
95,0.2872,1.056,0.69241,0.30777,"M","E","ADL"
96,0.2671,1.0113,0.688,0.31218,"M","E","ADL"
97,0.2481,0.9689,0.68386,0.31633,"M","E","ADL"
98,0.2301,0.9288,0.67999,0.3202,"M","E","ADL"
99,0.213,0.891,0.67636,0.32383,"M","E","ADL"
100,0.1969,0.8554,0.67297,0.32722,"M","E","ADL"
101,0.1817,0.822,0.6698,0.3304,"M","E","ADL"
102,0.1674,0.7907,0.66683,0.33337,"M","E","ADL"
103,0.1539,0.7616,0.66403,0.33617,"M","E","ADL"
104,0.1412,0.7345,0.66137,0.33882,"M","E","ADL"
105,0.1292,0.7093,0.65885,0.34135,"M","E","ADL"
106,0.118,0.6861,0.65642,0.34378,"M","E","ADL"
107,0.1075,0.6647,0.65407,0.34613,"M","E","ADL"
108,0.0976,0.6451,0.65175,0.34845,"M","E","ADL"
109,0.0884,0.6272,0.64946,0.35075,"M","E","ADL"
110,0.0798,0.6109,0.64715,0.35305,"M","E","ADL"
50,1.9339,4.4678,0.97806,0.02195,"F","N","ADL"
51,1.9122,4.431,0.97663,0.02338,"F","N","ADL"
52,1.8894,4.3913,0.97511,0.0249,"F","N","ADL"
53,1.8655,4.3486,0.97351,0.02651,"F","N","ADL"
54,1.8405,4.3028,0.97181,0.0282,"F","N","ADL"
55,1.8144,4.254,0.97002,0.03,"F","N","ADL"
56,1.787,4.2022,0.96813,0.03189,"F","N","ADL"
57,1.7586,4.1473,0.96614,0.03388,"F","N","ADL"
58,1.7289,4.0894,0.96404,0.03598,"F","N","ADL"
59,1.6981,4.0286,0.96183,0.03819,"F","N","ADL"
60,1.6661,3.9648,0.95951,0.04052,"F","N","ADL"
61,1.633,3.8983,0.95707,0.04296,"F","N","ADL"
62,1.5987,3.829,0.95451,0.04552,"F","N","ADL"
63,1.5633,3.757,0.95183,0.0482,"F","N","ADL"
64,1.5269,3.6826,0.94902,0.05101,"F","N","ADL"
65,1.4894,3.6059,0.94608,0.05395,"F","N","ADL"
66,1.451,3.527,0.94301,0.05702,"F","N","ADL"
67,1.4117,3.4461,0.93981,0.06022,"F","N","ADL"
68,1.3715,3.3634,0.93648,0.06356,"F","N","ADL"
69,1.3305,3.2792,0.933,0.06704,"F","N","ADL"
70,1.2888,3.1936,0.92939,0.07065,"F","N","ADL"
71,1.2465,3.1068,0.92564,0.07441,"F","N","ADL"
72,1.2037,3.0191,0.92174,0.07831,"F","N","ADL"
73,1.1605,2.9307,0.9177,0.08235,"F","N","ADL"
74,1.1169,2.8419,0.91351,0.08654,"F","N","ADL"
75,1.0732,2.753,0.90917,0.09088,"F","N","ADL"
76,1.0293,2.664,0.90468,0.09537,"F","N","ADL"
77,0.9855,2.5753,0.90004,0.10002,"F","N","ADL"
78,0.9417,2.4872,0.89524,0.10482,"F","N","ADL"
79,0.8983,2.3997,0.89028,0.10978,"F","N","ADL"
80,0.8552,2.3132,0.88515,0.11492,"F","N","ADL"
81,0.8125,2.2279,0.87984,0.12023,"F","N","ADL"
82,0.7705,2.1439,0.87435,0.12572,"F","N","ADL"
83,0.7291,2.0613,0.86867,0.13141,"F","N","ADL"
84,0.6886,1.9805,0.86277,0.13731,"F","N","ADL"
85,0.649,1.9014,0.85665,0.14344,"F","N","ADL"
86,0.6103,1.8243,0.85028,0.14981,"F","N","ADL"
87,0.5727,1.7493,0.84364,0.15645,"F","N","ADL"
88,0.5363,1.6764,0.8367,0.16339,"F","N","ADL"
89,0.5011,1.6058,0.82943,0.17067,"F","N","ADL"
90,0.4671,1.5375,0.82178,0.17832,"F","N","ADL"
91,0.4344,1.4715,0.81371,0.1864,"F","N","ADL"
92,0.4031,1.408,0.80516,0.19496,"F","N","ADL"
93,0.3732,1.3469,0.79605,0.20407,"F","N","ADL"
94,0.3446,1.2883,0.7863,0.21383,"F","N","ADL"
95,0.3175,1.2322,0.77582,0.22431,"F","N","ADL"
96,0.2917,1.1786,0.76449,0.23565,"F","N","ADL"
97,0.2673,1.1274,0.75216,0.24798,"F","N","ADL"
98,0.2442,1.0787,0.73868,0.26147,"F","N","ADL"
99,0.2225,1.0325,0.72384,0.27632,"F","N","ADL"
100,0.2021,0.9886,0.70741,0.29276,"F","N","ADL"
101,0.183,0.9471,0.68911,0.31107,"F","N","ADL"
102,0.1651,0.9079,0.66862,0.33158,"F","N","ADL"
103,0.1484,0.8711,0.64554,0.35467,"F","N","ADL"
104,0.1328,0.8364,0.61947,0.38076,"F","N","ADL"
105,0.1183,0.804,0.58993,0.41031,"F","N","ADL"
106,0.1049,0.7736,0.55649,0.44377,"F","N","ADL"
107,0.0925,0.7454,0.51877,0.48152,"F","N","ADL"
108,0.081,0.7191,0.47663,0.52365,"F","N","ADL"
109,0.0705,0.6948,0.43033,0.56993,"F","N","ADL"
110,0.0609,0.6724,0.38078,0.61944,"F","N","ADL"
50,2.0622,3.8899,0.98593,0.01408,"M","N","ADL"
51,2.0486,3.9061,0.98449,0.01552,"M","N","ADL"
52,2.0338,3.9188,0.98291,0.0171,"M","N","ADL"
53,2.0176,3.9276,0.98117,0.01884,"M","N","ADL"
54,2,3.9323,0.97928,0.02073,"M","N","ADL"
55,1.981,3.9324,0.97721,0.0228,"M","N","ADL"
56,1.9603,3.9274,0.97496,0.02505,"M","N","ADL"
57,1.9381,3.917,0.97251,0.02751,"M","N","ADL"
58,1.9141,3.901,0.96984,0.03018,"M","N","ADL"
59,1.8883,3.8789,0.96695,0.03307,"M","N","ADL"
60,1.8607,3.8506,0.96381,0.03621,"M","N","ADL"
61,1.8313,3.8159,0.96042,0.0396,"M","N","ADL"
62,1.7999,3.7746,0.95676,0.04326,"M","N","ADL"
63,1.7667,3.7268,0.95282,0.04721,"M","N","ADL"
64,1.7316,3.6725,0.94859,0.05144,"M","N","ADL"
65,1.6946,3.6117,0.94405,0.05598,"M","N","ADL"
66,1.6557,3.5448,0.9392,0.06084,"M","N","ADL"
67,1.6151,3.4718,0.93402,0.06602,"M","N","ADL"
