"age","ex1","ex2","p1","p2","sex","region","health"
76,2.9645,5.0644,0.76007,0.24007,"F","W","IADL"
77,2.8483,4.8779,0.74645,0.2537,"F","W","IADL"
78,2.7318,4.6891,0.73251,0.26765,"F","W","IADL"
79,2.6152,4.4989,0.71831,0.28186,"F","W","IADL"
80,2.4991,4.3084,0.70387,0.2963,"F","W","IADL"
81,2.3838,4.1183,0.68926,0.31092,"F","W","IADL"
82,2.2696,3.9295,0.67453,0.32566,"F","W","IADL"
83,2.157,3.7429,0.65974,0.34046,"F","W","IADL"
84,2.0463,3.5591,0.64493,0.35528,"F","W","IADL"
85,1.9377,3.379,0.63018,0.37004,"F","W","IADL"
86,1.8316,3.2029,0.61554,0.38469,"F","W","IADL"
87,1.7283,3.0316,0.60108,0.39916,"F","W","IADL"
88,1.6279,2.8654,0.58685,0.4134,"F","W","IADL"
89,1.5307,2.7048,0.57292,0.42734,"F","W","IADL"
90,1.4368,2.5501,0.55934,0.44093,"F","W","IADL"
91,1.3463,2.4016,0.54617,0.4541,"F","W","IADL"
92,1.2594,2.2594,0.53346,0.46682,"F","W","IADL"
93,1.1762,2.1237,0.52127,0.47902,"F","W","IADL"
94,1.0966,1.9946,0.50964,0.49064,"F","W","IADL"
95,1.0207,1.872,0.49863,0.50167,"F","W","IADL"
96,0.9485,1.756,0.48826,0.51203,"F","W","IADL"
97,0.8799,1.6466,0.47858,0.5217,"F","W","IADL"
98,0.815,1.5436,0.46963,0.53064,"F","W","IADL"
99,0.7535,1.4469,0.46144,0.53883,"F","W","IADL"
100,0.6956,1.3563,0.45403,0.54624,"F","W","IADL"
101,0.6409,1.2718,0.44744,0.55283,"F","W","IADL"
102,0.5895,1.1931,0.44167,0.55859,"F","W","IADL"
103,0.5412,1.12,0.43675,0.5635,"F","W","IADL"
104,0.4959,1.0524,0.43269,0.56757,"F","W","IADL"
105,0.4535,0.9899,0.42948,0.57077,"F","W","IADL"
106,0.4138,0.9325,0.42712,0.57313,"F","W","IADL"
107,0.3766,0.8799,0.4256,0.57465,"F","W","IADL"
108,0.342,0.8319,0.42489,0.57536,"F","W","IADL"
109,0.3096,0.7882,0.42496,0.57529,"F","W","IADL"
110,0.2795,0.7487,0.42576,0.57449,"F","W","IADL"
50,2.4307,4.3273,0.96647,0.03355,"M","W","IADL"
51,2.4054,4.2963,0.96416,0.03586,"M","W","IADL"
52,2.3789,4.2624,0.9617,0.03832,"M","W","IADL"
53,2.3511,4.2256,0.95909,0.04093,"M","W","IADL"
54,2.3221,4.1858,0.95633,0.04369,"M","W","IADL"
55,2.2919,4.1431,0.95341,0.04662,"M","W","IADL"
56,2.2603,4.0975,0.95031,0.04972,"M","W","IADL"
57,2.2275,4.0489,0.94704,0.05299,"M","W","IADL"
58,2.1935,3.9974,0.94358,0.05645,"M","W","IADL"
59,2.1582,3.9431,0.93994,0.0601,"M","W","IADL"
60,2.1217,3.886,0.93609,0.06394,"M","W","IADL"
61,2.084,3.8262,0.93205,0.06799,"M","W","IADL"
62,2.0451,3.7639,0.92779,0.07225,"M","W","IADL"
63,2.0051,3.6992,0.92332,0.07673,"M","W","IADL"
64,1.964,3.6321,0.91862,0.08143,"M","W","IADL"
65,1.9219,3.5629,0.9137,0.08635,"M","W","IADL"
66,1.8788,3.4917,0.90854,0.09152,"M","W","IADL"
67,1.8348,3.4187,0.90314,0.09692,"M","W","IADL"
68,1.79,3.344,0.89749,0.10257,"M","W","IADL"
69,1.7444,3.2679,0.8916,0.10847,"M","W","IADL"
70,1.6981,3.1905,0.88544,0.11463,"M","W","IADL"
71,1.6513,3.1121,0.87903,0.12104,"M","W","IADL"
72,1.6039,3.0328,0.87235,0.12772,"M","W","IADL"
73,1.5562,2.9529,0.8654,0.13468,"M","W","IADL"
74,1.5082,2.8726,0.85817,0.14191,"M","W","IADL"
75,1.46,2.7921,0.85067,0.14942,"M","W","IADL"
76,1.4116,2.7115,0.84288,0.15722,"M","W","IADL"
77,1.3633,2.6311,0.83479,0.1653,"M","W","IADL"
78,1.315,2.5511,0.82642,0.17369,"M","W","IADL"
79,1.267,2.4716,0.81773,0.18237,"M","W","IADL"
80,1.2193,2.3928,0.80874,0.19137,"M","W","IADL"
81,1.1719,2.3149,0.79943,0.20069,"M","W","IADL"
82,1.125,2.238,0.78979,0.21033,"M","W","IADL"
83,1.0787,2.1623,0.77982,0.22031,"M","W","IADL"
84,1.0331,2.0879,0.76949,0.23064,"M","W","IADL"
85,0.9882,2.0149,0.75881,0.24133,"M","W","IADL"
86,0.944,1.9434,0.74775,0.2524,"M","W","IADL"
87,0.9007,1.8736,0.73629,0.26386,"M","W","IADL"
88,0.8584,1.8054,0.72443,0.27573,"M","W","IADL"
89,0.817,1.739,0.71213,0.28804,"M","W","IADL"
90,0.7767,1.6745,0.69937,0.30081,"M","W","IADL"
91,0.7374,1.6118,0.68614,0.31405,"M","W","IADL"
92,0.6992,1.5511,0.67239,0.3278,"M","W","IADL"
93,0.6621,1.4923,0.6581,0.3421,"M","W","IADL"
94,0.6261,1.4355,0.64323,0.35698,"M","W","IADL"
95,0.5913,1.3807,0.62775,0.37248,"M","W","IADL"
96,0.5577,1.3279,0.61161,0.38862,"M","W","IADL"
97,0.5252,1.2771,0.59478,0.40546,"M","W","IADL"
98,0.4939,1.2282,0.57721,0.42304,"M","W","IADL"
99,0.4638,1.1814,0.55887,0.4414,"M","W","IADL"
100,0.4348,1.1365,0.5397,0.46057,"M","W","IADL"
101,0.4069,1.0936,0.51968,0.4806,"M","W","IADL"
102,0.3801,1.0526,0.49878,0.50152,"M","W","IADL"
103,0.3545,1.0134,0.47697,0.52331,"M","W","IADL"
104,0.3299,0.9762,0.45426,0.54601,"M","W","IADL"
105,0.3063,0.9407,0.43066,0.56959,"M","W","IADL"
106,0.2838,0.9071,0.40623,0.59401,"M","W","IADL"
107,0.2623,0.8752,0.38106,0.61916,"M","W","IADL"
108,0.2418,0.845,0.35528,0.64493,"M","W","IADL"
109,0.2222,0.8165,0.32908,0.67111,"M","W","IADL"
110,0.2036,0.7896,0.30272,0.69746,"M","W","IADL"
50,3.6921,5.2179,0.97297,0.02705,"F","E","IADL"
51,3.6684,5.2046,0.9702,0.02982,"F","E","IADL"
52,3.6428,5.1878,0.96715,0.03286,"F","E","IADL"
53,3.6151,5.1676,0.96382,0.0362,"F","E","IADL"
54,3.5852,5.1435,0.96017,0.03986,"F","E","IADL"
55,3.553,5.1155,0.95617,0.04386,"F","E","IADL"
56,3.5184,5.0834,0.95179,0.04823,"F","E","IADL"
57,3.4812,5.047,0.94702,0.05301,"F","E","IADL"
58,3.4414,5.0061,0.9418,0.05823,"F","E","IADL"
59,3.3989,4.9606,0.93612,0.06392,"F","E","IADL"
60,3.3536,4.9105,0.92993,0.07011,"F","E","IADL"
61,3.3055,4.8557,0.9232,0.07684,"F","E","IADL"
62,3.2544,4.7961,0.91589,0.08416,"F","E","IADL"
63,3.2004,4.7318,0.90796,0.09209,"F","E","IADL"
64,3.1435,4.6629,0.89937,0.10069,"F","E","IADL"
65,3.0837,4.5894,0.89007,0.10999,"F","E","IADL"
66,3.021,4.5114,0.88003,0.12004,"F","E","IADL"
67,2.9554,4.4292,0.8692,0.13087,"F","E","IADL"
68,2.8872,4.343,0.85754,0.14254,"F","E","IADL"
69,2.8163,4.2529,0.845,0.15509,"F","E","IADL"
70,2.743,4.1594,0.83154,0.16856,"F","E","IADL"
71,2.6673,4.0627,0.81711,0.183,"F","E","IADL"
72,2.5895,3.9632,0.80168,0.19844,"F","E","IADL"
73,2.5098,3.8612,0.78519,0.21494,"F","E","IADL"
74,2.4284,3.7571,0.76762,0.23252,"F","E","IADL"
75,2.3455,3.6513,0.74891,0.25123,"F","E","IADL"
76,2.2615,3.5442,0.72905,0.27112,"F","E","IADL"
77,2.1765,3.4363,0.70799,0.29218,"F","E","IADL"
78,2.0908,3.3278,0.68572,0.31447,"F","E","IADL"
79,2.0049,3.2191,0.66221,0.33799,"F","E","IADL"
80,1.9188,3.1107,0.63748,0.36274,"F","E","IADL"
81,1.8329,3.0029,0.61152,0.3887,"F","E","IADL"
82,1.7474,2.8959,0.58437,0.41587,"F","E","IADL"
83,1.6627,2.7902,0.55609,0.44418,"F","E","IADL"
84,1.5789,2.686,0.52674,0.47353,"F","E","IADL"
85,1.4963,2.5834,0.49646,0.50383,"F","E","IADL"
86,1.4151,2.4829,0.4654,0.53487,"F","E","IADL"
87,1.3355,2.3845,0.43377,0.56649,"F","E","IADL"
88,1.2577,2.2884,0.40183,0.59841,"F","E","IADL"
89,1.1818,2.1948,0.36988,0.63034,"F","E","IADL"
90,1.1079,2.1037,0.33828,0.66192,"F","E","IADL"
91,1.0362,2.0154,0.3074,0.69278,"F","E","IADL"
92,0.9668,1.9298,0.27762,0.72254,"F","E","IADL"
93,0.8997,1.8471,0.24931,0.75084,"F","E","IADL"
94,0.835,1.7672,0.22275,0.77738,"F","E","IADL"
95,0.7728,1.6902,0.1982,0.80192,"F","E","IADL"
96,0.7131,1.6162,0.17578,0.82432,"F","E","IADL"
97,0.6559,1.545,0.15554,0.84455,"F","E","IADL"
98,0.6013,1.4768,0.13745,0.86264,"F","E","IADL"
99,0.5494,1.4114,0.12139,0.87868,"F","E","IADL"
100,0.5001,1.3488,0.10723,0.89283,"F","E","IADL"
101,0.4536,1.2891,0.09479,0.90526,"F","E","IADL"
102,0.4098,1.2321,0.08391,0.91614,"F","E","IADL"
103,0.3687,1.1779,0.0744,0.92564,"F","E","IADL"
104,0.3305,1.1263,0.0661,0.93394,"F","E","IADL"
105,0.2951,1.0774,0.05887,0.94117,"F","E","IADL"
106,0.2625,1.031,0.05256,0.94746,"F","E","IADL"
107,0.2326,0.9872,0.04707,0.95295,"F","E","IADL"
108,0.2054,0.9458,0.04229,0.95774,"F","E","IADL"
109,0.1807,0.9068,0.03811,0.96191,"F","E","IADL"
110,0.1585,0.8702,0.03446,0.96555,"F","E","IADL"
50,1.9595,2.8631,0.96921,0.03081,"M","E","IADL"
51,1.9549,2.8848,0.96619,0.03383,"M","E","IADL"
52,1.9494,2.9055,0.96289,0.03713,"M","E","IADL"
53,1.9427,2.9248,0.9593,0.04072,"M","E","IADL"
54,1.9348,2.9423,0.9554,0.04462,"M","E","IADL"
55,1.9257,2.9579,0.95118,0.04885,"M","E","IADL"
56,1.9151,2.971,0.9466,0.05343,"M","E","IADL"
57,1.9031,2.9814,0.94166,0.05838,"M","E","IADL"
58,1.8895,2.9886,0.93632,0.06371,"M","E","IADL"
59,1.8743,2.9925,0.93059,0.06945,"M","E","IADL"
60,1.8574,2.9927,0.92442,0.07562,"M","E","IADL"
61,1.8388,2.9889,0.91782,0.08223,"M","E","IADL"
62,1.8185,2.981,0.91076,0.08929,"M","E","IADL"
63,1.7964,2.9688,0.90323,0.09683,"M","E","IADL"
64,1.7726,2.9521,0.89521,0.10485,"M","E","IADL"
65,1.747,2.9309,0.88671,0.11336,"M","E","IADL"
66,1.7197,2.9052,0.8777,0.12237,"M","E","IADL"
67,1.6907,2.8751,0.86819,0.13188,"M","E","IADL"
68,1.6602,2.8407,0.85817,0.14191,"M","E","IADL"
69,1.6282,2.8021,0.84765,0.15244,"M","E","IADL"
