mort,prev,country,health
0.887840667,0.273498985,AUT,adl
3.449381617,1.626159834,AUT,chr
1.049029118,2.299899043,AUT,gal
1.89374988,0.487905219,AUT,sr
0.951413703,1.015938955,BEL,adl
3.551392142,-0.638387953,BEL,chr
0.807543667,1.024974954,BEL,gal
1.524605894,-1.438427052,BEL,sr
1.092237575,-0.342844413,CZE,adl
4.541110231,-0.651285782,CZE,chr
1.143634346,0.043778678,CZE,gal
1.447580928,0.604293202,CZE,sr
0.909429386,-0.499848053,DEU,adl
3.801597094,-1.904268007,DEU,chr
1.094990783,0.282528591,DEU,gal
2.264509607,-0.5192659,DEU,sr
0.494991717,-0.434140012,DNK,adl
2.920720748,-1.063065856,DNK,chr
0.627461766,0.349509798,DNK,gal
1.290483321,1.216856278,DNK,sr
1.361655043,2.666811475,ESP,adl
4.513574868,0.382754599,ESP,chr
0.741832956,1.595575666,ESP,gal
2.971408195,1.22665022,ESP,sr
1.651117921,0.107934727,EST,adl
6.237556062,-0.677685271,EST,chr
2.599509607,0.157025293,EST,gal
5.77161969,0.046851186,EST,sr
0.903295776,0.405269618,FRA,adl
4.437638213,0.822578181,FRA,chr
1.14939112,-0.408874629,FRA,gal
2.293174229,0.32067688,FRA,sr
0.484771679,0.511793278,GRC,adl
3.744548305,2.072218,GRC,chr
0.455186766,0.811765062,GRC,gal
2.079804537,0.883939549,GRC,sr
1.188414228,0.419430375,HRV,adl
4.470093612,-0.273202816,HRV,chr
1.241969632,0.408951355,HRV,gal
2.726958225,1.224745625,HRV,sr
0.85927201,1.499802503,ITA,adl
3.426772948,1.893920177,ITA,chr
1.100191402,1.119562767,ITA,gal
2.470557072,2.044653596,ITA,sr
1.499092413,-0.239320408,POL,adl
5.48052909,-0.320448914,POL,chr
2.131482523,-1.523729316,POL,gal
3.876661062,-1.263140775,POL,sr
0.459365522,-0.45428624,SWE,adl
2.411505648,-0.609306055,SWE,chr
0.655488745,1.185438486,SWE,gal
1.238549404,-0.175471663,SWE,sr
